;HEADER SIZE...................,35                                             
;VEHICLE NAME..................,ANTARES 230                                    
;MISSION NAME..................,CRS-8E (OA-8E)                                 
;MISSION TYPE..................,ISS RESUPPLY                                   
;MISSION OPERATOR..............,NASA                                           
;MISSION CUSTOMER..............,ORBITAL ATK                                    
;LAUNCH DATE...................,12 NOVEMBER 2017                               
;LAUNCH TIME  (UTC ZULU).......,12:19:51.000                                   
;EVENT DESCRIPTION.............,LAUNCH NOISE                                   
;EVENT SITE....................,MARS PAD 0A, WALLOPS FLIGHT FACILITY, VA       
;PROJECT.......................,ACRP PROJECT 02-81                             
;ORGANIZATION..................,BLUE RIDGE RESEARCH AND CONSULTING, LLC        
;RECORDER LOCATION.............,X-5                                            
;RECORDER LOCATION SHORT NAME..,X05                                            
;SAMPLES TOTAL.................,315                                            
;RUN NOTES.....................,NONE                                           
;CH NUMBER.....................,04                                             
;CH DESCRIPTION................,1/2" MICROPHONE FREE-FIELD                     
;TRANSDUCER MODEL..............,PCB 377B02                                     
;TRANSDUCER SN.................,105222                                         
;PRE-CAL SENS (mV/Pa)..........,N/A                                            
;POST-CAL SENS (mV/Pa).........,N/A                                            
;MEAS SENS (mV/Pa).............,50.00                                          
;ORIENTATION...................,SKY                                            
;WINDSCREEN....................,YES                                            
;GRID..........................,YES                                            
;PREAMP MODEL..................,PCB PRM831                                     
;PREAMP SN.....................,0471                                           
;RECORDER MODEL................,LD-831                                         
;COORDINATES...................,GEOGRAPHIC                                     
;DATUM.........................,WGS 84                                         
;LATITUDE......................,37.840820                                      
;LONGITUDE.....................,-75.481336                                     
;MICROPHONE HEIGHT AGL M.......,1.5                                            
;CH NOTES......................,NONE                                           
;QC NOTE.......................,NONE                                           
AMBIENT,61.8,41.3,56.3,50.5,46.5,44.7,44.7,53.3,46.0,46.6,47.5,49.5,47.7,46.3,50.5,44.3,44.5,41.1,37.9,36.1,36.1,40.1,37.3,34.3,31.4,29.8,29.5,29.6,30.3,31.1,31.9,32.8,33.9,35.1,36.2,37.4,38.4,39.5,41.1
12:19:42.000,58.7,38.9,54.6,48.6,43.4,38.7,42.9,53.7,40.5,43.0,41.5,46.0,44.7,41.8,50.1,41.3,42.3,38.7,36.2,33.8,35.3,36.0,33.5,32.5,31.1,29.3,29.2,29.4,30.5,30.8,32.0,32.5,33.8,35.1,36.3,37.4,38.3,39.5,41.1
12:19:43.000,58.5,38.9,53.9,48.2,40.1,37.6,42.9,54.0,43.4,46.0,43.2,45.9,44.6,41.5,50.0,41.2,42.9,39.2,35.4,33.9,35.4,35.4,34.3,32.6,30.6,29.6,29.3,29.5,30.1,30.7,31.7,32.7,33.8,35.2,36.1,37.5,38.3,39.5,41.0
12:19:44.000,59.0,39.7,55.3,40.5,38.0,38.3,43.8,54.1,42.9,43.6,41.9,46.1,47.0,46.0,49.7,41.2,45.1,38.2,37.0,34.8,36.9,36.4,35.1,33.6,30.3,29.5,28.9,29.7,30.0,30.7,32.0,32.5,33.8,35.1,36.1,37.3,38.3,39.5,41.0
12:19:45.000,59.0,40.4,56.1,44.5,44.5,40.9,46.5,52.6,41.4,43.2,42.9,49.1,44.8,43.8,51.1,42.3,44.4,39.3,37.7,36.2,36.0,36.6,35.8,34.2,30.9,29.0,29.2,29.2,30.5,30.8,31.5,32.9,33.9,35.1,36.3,37.3,38.4,39.6,41.1
12:19:46.000,60.5,41.6,56.7,50.7,40.3,40.8,45.2,54.4,40.7,44.6,41.5,50.0,49.2,44.6,51.6,43.7,45.1,40.6,38.1,36.1,38.0,40.5,38.3,34.1,30.7,29.4,29.0,29.7,30.6,31.2,31.6,32.4,33.8,35.1,36.2,37.2,38.3,39.4,41.1
12:19:47.000,61.6,42.1,56.4,47.3,39.3,35.9,41.2,51.4,47.8,48.5,47.8,50.5,47.4,46.2,49.1,45.0,44.4,42.1,38.1,37.3,37.9,42.2,37.6,33.6,30.2,29.6,29.2,29.4,30.3,31.2,31.8,32.7,33.7,35.0,36.2,37.2,38.2,39.4,41.0
12:19:48.000,61.0,42.5,56.5,49.9,44.3,40.0,45.6,53.7,43.5,46.1,47.1,48.5,48.4,46.3,48.7,44.6,45.2,40.8,37.7,38.1,38.2,43.0,38.0,35.3,32.4,30.5,29.1,29.7,30.1,30.6,31.9,32.7,33.9,35.1,36.3,37.4,38.5,39.5,40.9
12:19:49.000,60.4,41.8,55.7,50.6,41.9,39.6,43.9,54.7,46.1,46.8,44.9,49.8,48.1,44.5,49.0,43.7,45.4,39.3,37.2,38.5,38.9,39.5,37.3,35.4,33.0,30.0,29.6,29.7,30.1,30.9,31.8,32.8,33.8,35.1,36.3,37.2,38.4,39.4,41.1
12:19:50.000,62.1,41.6,54.9,46.9,42.3,44.7,40.3,53.6,45.2,45.9,44.2,49.9,46.2,44.1,50.5,42.7,44.1,38.9,37.7,38.5,38.3,39.9,38.6,35.0,31.9,29.5,29.6,29.5,29.9,30.8,31.9,32.7,33.7,35.1,36.2,37.4,38.3,39.4,41.1
