;HEADER SIZE...................,33                                             
;VEHICLE NAME..................,ANTARES 230                                    
;MISSION NAME..................,CRS-8E (OA-8E)                                 
;MISSION TYPE..................,ISS RESUPPLY                                   
;MISSION OPERATOR..............,NASA                                           
;MISSION CUSTOMER..............,ORBITAL ATK                                    
;LAUNCH DATE...................,12 NOVEMBER 2017                               
;LAUNCH TIME  (UTC ZULU).......,12:19:51.000                                   
;EVENT DESCRIPTION.............,LAUNCH NOISE                                   
;EVENT SITE....................,MARS PAD 0A, WALLOPS FLIGHT FACILITY, VA       
;PROJECT.......................,ACRP PROJECT 02-81                             
;ORGANIZATION..................,BLUE RIDGE RESEARCH AND CONSULTING, LLC        
;RECORDER LOCATION.............,Arbuckle Neck Road (PXI)                       
;RECORDER LOCATION SHORT NAME..,ARBNRD                                         
;SAMPLES TOTAL.................,308                                            
;RUN NOTES.....................,NONE                                           
;CH NUMBER.....................,15                                             
;CH DESCRIPTION................,1/4" MICROPHONE FREE-FIELD                     
;TRANSDUCER MODEL..............,GRAS 40BE                                      
;TRANSDUCER SN.................,66434                                          
;MEAS SENS (mV/Pa).............,4.473                                          
;ORIENTATION...................,GRAZING                                        
;WINDSCREEN....................,YES                                            
;GRID..........................,YES                                            
;PREAMP MODEL..................,GRAS 26CB                                      
;PREAMP SN.....................,61098                                          
;RECORDER MODEL................,PXI-4462                                       
;COORDINATES...................,GEOGRAPHIC                                     
;DATUM.........................,WGS 84                                         
;LATITUDE......................,37.847604                                      
;LONGITUDE.....................,-75.513816                                     
;MICROPHONE HEIGHT AGL M.......,3.7                                            
;CH NOTES......................,CONTINUOUS MECH TONAL NOISE 500 HZ & <80 HZ    
;QC NOTE.......................,NONE                                           
AMBIENT,76.5,59.1,66.4,67.9,67.4,66.3,64.0,63.8,61.8,61.5,59.6,58.2,55.2,53.8,51.6,48.0,42.1,43.5,45.6,44.5,43.7,52.3,55.4,50.6,48.1,50.4,53.2,46.2,40.0,37.9,35.3,33.3,33.0,31.0,32.0,31.4,32.1,32.8,33.9
12:19:52.600,70.0,53.6,61.5,54.0,57.9,58.9,56.3,60.1,58.5,51.8,53.7,54.1,49.9,48.5,46.6,39.5,38.3,39.6,46.8,45.0,40.3,48.6,49.4,55.2,44.5,47.4,43.0,28.8,28.3,32.0,30.4,31.6,30.4,29.7,30.0,30.7,31.6,32.8,33.9
12:19:53.600,76.5,64.0,68.5,71.9,65.9,62.6,64.7,62.6,63.7,60.8,60.4,59.9,55.5,54.8,50.9,47.4,41.0,46.9,52.2,50.5,48.8,60.1,62.6,56.6,54.8,57.7,61.3,53.4,47.1,45.1,42.2,39.3,38.1,34.5,35.4,32.8,33.2,33.1,34.0
12:19:54.600,78.2,43.6,66.3,69.0,72.0,69.3,65.5,66.7,60.3,63.8,58.5,60.3,57.0,55.1,52.1,48.1,44.0,41.5,37.8,35.6,36.9,39.4,33.5,31.5,29.9,29.9,28.1,26.8,26.3,26.5,27.3,28.1,28.1,28.8,29.9,30.7,31.4,32.6,33.9
12:19:55.600,76.6,42.8,63.6,65.8,68.2,67.6,60.3,62.3,58.6,57.2,57.2,58.5,50.0,48.5,48.6,45.0,39.6,42.5,38.4,35.2,36.4,38.1,34.2,31.7,30.2,30.5,29.2,27.1,26.2,26.1,26.3,26.8,27.8,28.4,29.5,30.5,31.6,32.6,33.9
12:19:56.600,71.0,43.7,61.4,57.7,61.1,57.9,56.2,56.8,51.8,58.1,55.3,55.1,48.5,46.6,47.6,42.4,39.9,41.8,43.8,42.6,39.3,38.3,35.9,31.7,31.3,30.0,28.5,27.0,25.9,26.6,26.9,27.9,27.9,28.5,29.6,30.6,31.6,32.7,33.7
12:19:57.600,71.6,45.5,60.7,61.4,65.9,62.0,60.9,55.8,58.8,55.8,50.3,52.3,47.6,46.9,48.9,42.9,40.0,41.9,40.7,38.3,38.5,38.1,35.7,38.2,36.0,31.1,28.7,29.8,28.2,29.9,28.5,31.0,34.3,32.2,33.7,32.4,33.2,33.2,34.1
12:19:58.600,76.9,44.7,64.5,66.7,70.8,68.2,61.0,62.4,57.9,60.6,59.9,59.7,57.5,55.1,55.4,47.5,44.4,45.0,39.7,36.7,36.9,39.8,36.5,32.4,31.4,31.1,30.0,29.9,27.6,29.5,27.9,29.7,33.0,31.5,32.5,31.8,32.6,33.0,34.0
12:19:59.600,75.0,47.0,66.5,66.1,62.6,60.0,59.9,59.2,61.0,57.2,57.9,54.9,53.3,52.5,49.9,45.8,40.9,42.3,39.4,37.0,37.8,39.9,36.4,33.7,34.9,31.1,29.8,28.3,27.0,27.2,27.4,28.3,28.7,29.5,31.0,31.2,32.0,32.9,34.1
12:20:00.600,88.6,70.9,85.3,80.7,75.7,74.8,76.7,76.3,74.7,70.5,67.4,70.6,67.0,70.9,72.6,72.2,76.3,84.3,72.9,59.8,64.6,59.6,62.5,61.6,59.7,57.1,52.0,44.3,34.2,27.0,26.6,27.3,27.8,28.8,29.5,30.5,31.4,32.8,33.7
12:20:01.600,93.7,64.7,89.6,73.9,72.1,76.1,76.2,78.7,81.0,77.5,78.1,80.7,77.2,75.7,73.5,71.7,67.5,66.5,60.7,55.6,51.2,51.1,53.4,51.5,53.2,51.7,46.2,38.2,29.4,26.3,26.6,28.2,28.9,29.4,29.8,30.6,31.6,32.8,33.8
