;HEADER SIZE...................,33                                             
;VEHICLE NAME..................,ANTARES 230                                    
;MISSION NAME..................,CRS-8E (OA-8E)                                 
;MISSION TYPE..................,ISS RESUPPLY                                   
;MISSION OPERATOR..............,NASA                                           
;MISSION CUSTOMER..............,ORBITAL ATK                                    
;LAUNCH DATE...................,12 NOVEMBER 2017                               
;LAUNCH TIME  (UTC ZULU).......,12:19:51.000                                   
;EVENT DESCRIPTION.............,LAUNCH NOISE                                   
;EVENT SITE....................,MARS PAD 0A, WALLOPS FLIGHT FACILITY, VA       
;PROJECT.......................,ACRP PROJECT 02-81                             
;ORGANIZATION..................,BLUE RIDGE RESEARCH AND CONSULTING, LLC        
;RECORDER LOCATION.............,Kegotank Elementary School                     
;RECORDER LOCATION SHORT NAME..,KEGOES                                         
;SAMPLES TOTAL.................,315                                            
;RUN NOTES.....................,NONE                                           
;CH NUMBER.....................,37                                             
;CH DESCRIPTION................,1/2" MICROPHONE FREE-FIELD                     
;TRANSDUCER MODEL..............,GRAS 40AE                                      
;TRANSDUCER SN.................,63669                                          
;MEAS SENS (mV/Pa).............,54.190                                         
;ORIENTATION...................,GRAZING                                        
;WINDSCREEN....................,YES                                            
;GRID..........................,YES                                            
;PREAMP MODEL..................,N/A                                            
;PREAMP SN.....................,N/A                                            
;RECORDER MODEL................,NI-9233                                        
;COORDINATES...................,GEOGRAPHIC                                     
;DATUM.........................,WGS 84                                         
;LATITUDE......................,37.856671                                      
;LONGITUDE.....................,-75.564653                                     
;MICROPHONE HEIGHT AGL M.......,1.5                                            
;CH NOTES......................,NONE                                           
;QC NOTE.......................,NONE                                           
AMBIENT,58.5,47.0,55.0,49.0,46.6,43.7,43.0,46.9,47.6,44.9,46.7,47.1,44.9,45.3,43.6,44.9,45.2,40.7,38.5,37.4,38.8,40.8,40.8,38.3,39.0,38.8,38.3,36.4,30.8,27.3,24.6,23.6,22.6,22.7,23.3,23.9,24.4,25.3,26.3
12:20:00.044,58.8,46.5,55.1,50.7,48.6,41.7,41.9,46.6,47.7,45.7,45.4,46.1,44.2,49.3,44.8,45.8,42.6,43.3,35.8,33.2,31.1,30.2,33.6,36.2,39.0,40.0,38.9,36.8,32.6,25.3,20.7,19.9,20.6,21.6,22.6,23.2,24.2,25.2,26.5
12:20:01.044,58.3,46.1,55.9,45.5,46.0,44.9,42.1,44.2,42.9,44.1,48.0,49.2,47.5,50.2,47.8,47.2,42.9,43.0,36.9,32.9,30.9,29.6,30.7,35.2,38.6,39.4,39.3,36.2,32.0,26.1,23.0,20.3,20.8,21.9,22.2,23.3,24.4,25.4,26.4
12:20:02.044,58.9,46.4,57.1,45.9,43.3,42.2,43.7,42.8,41.3,42.3,42.9,43.6,45.2,53.9,48.9,48.6,42.4,39.6,37.0,32.1,29.9,28.7,31.0,35.1,38.8,40.8,39.0,37.1,32.9,26.7,25.6,20.6,20.9,22.3,22.4,23.3,24.3,25.3,26.3
12:20:03.044,60.1,47.3,58.3,47.9,45.7,41.2,38.8,43.4,43.0,39.8,42.9,39.3,42.4,56.7,48.1,47.1,45.9,37.7,34.1,31.2,29.2,29.5,33.1,38.7,40.0,40.5,39.0,39.1,35.1,26.1,22.1,20.3,20.7,21.5,22.5,23.3,24.3,25.4,26.4
12:20:04.044,57.5,46.6,55.6,42.9,44.4,41.5,38.1,40.7,43.1,43.7,44.8,46.2,45.1,52.0,44.7,43.6,41.7,38.2,36.2,32.5,29.9,30.4,31.3,36.9,37.7,39.3,38.5,36.6,33.0,24.7,20.2,19.6,20.5,21.5,22.7,23.4,24.4,25.5,26.2
12:20:05.044,58.9,48.0,54.9,48.2,46.8,43.3,45.1,48.3,38.4,40.5,47.7,43.7,41.3,48.8,46.4,46.5,41.9,38.1,35.8,33.1,28.3,33.6,38.4,41.4,41.8,40.6,40.0,37.2,31.5,25.3,21.8,20.5,20.6,21.4,22.5,23.1,24.1,25.4,26.3
12:20:06.044,57.7,48.0,54.2,44.5,45.4,47.8,43.4,46.1,47.4,46.1,40.6,45.2,41.9,44.1,42.7,48.6,41.3,40.5,39.0,34.7,31.4,33.4,36.9,38.6,37.7,41.0,40.2,40.5,38.6,30.8,26.0,20.5,20.4,21.5,22.3,23.2,24.2,25.2,26.2
12:20:07.044,57.8,50.1,54.9,42.7,42.5,44.8,45.6,44.9,47.1,44.2,43.9,44.4,43.2,42.6,43.5,47.1,42.0,40.1,37.9,35.0,32.7,35.5,41.1,43.2,43.0,42.7,43.6,41.9,37.9,30.8,25.0,20.7,20.7,21.4,22.3,23.3,24.2,25.1,26.2
12:20:08.044,57.9,48.0,54.9,40.2,38.3,40.3,46.6,49.5,47.3,45.2,46.8,47.0,45.4,42.7,44.1,44.6,43.3,44.8,37.6,33.9,29.8,33.0,38.8,41.9,39.6,39.4,39.5,37.9,33.5,29.1,22.4,20.3,20.5,21.5,22.1,23.2,24.1,25.2,26.4
