;HEADER SIZE...................,35                                             
;VEHICLE NAME..................,DELTA IV HEAVY                                 
;MISSION NAME..................,PARKER SOLAR PROBE                             
;MISSION TYPE..................,HELIOPHYSICS                                   
;MISSION OPERATOR..............,UNITED LAUNCH ALLIANCE                         
;MISSION CUSTOMER..............,NASA                                           
;LAUNCH DATE...................,12 AUGUST 2018                                 
;LAUNCH TIME  (UTC ZULU).......,07:31:00.000                                   
;EVENT DESCRIPTION.............,LAUNCH NOISE                                   
;EVENT SITE....................,SLC-37B, CCAFS, FL                             
;PROJECT.......................,ACRP PROJECT 02-81                             
;ORGANIZATION..................,BLUE RIDGE RESEARCH AND CONSULTING, LLC        
;RECORDER LOCATION.............,PAMS                                           
;RECORDER LOCATION SHORT NAME..,PAMS                                           
;SAMPLES TOTAL.................,315                                            
;RUN NOTES.....................,NONE                                           
;CH NUMBER.....................,24                                             
;CH DESCRIPTION................,1/2" MICROPHONE FREE-FIELD                     
;TRANSDUCER MODEL..............,PCB 377B02                                     
;TRANSDUCER SN.................,106212                                         
;PRE-CAL SENS (mV/Pa)..........,N/A                                            
;POST-CAL SENS (mV/Pa).........,N/A                                            
;MEAS SENS (mV/Pa).............,45.830                                         
;ORIENTATION...................,INVERTED                                       
;WINDSCREEN....................,YES                                            
;GRID..........................,YES                                            
;PREAMP MODEL..................,PCB PRM831                                     
;PREAMP SN.....................,466                                            
;RECORDER MODEL................,LD-831                                         
;COORDINATES...................,GEOGRAPHIC                                     
;DATUM.........................,WGS 84                                         
;LATITUDE......................,28.538642                                      
;LONGITUDE.....................,-80.642370                                     
;MICROPHONE HEIGHT AGL M.......,0.0                                            
;CH NOTES......................,CONTINUOUS LOW-LEVEL MECH TONAL NOISE 6300 HZ  
;QC NOTE.......................,NONE                                           
AMBIENT,59.4,45.5,53.1,45.4,48.4,51.2,49.6,52.6,51.1,44.8,45.3,43.7,40.7,40.0,43.6,42.9,39.2,36.7,33.3,33.0,31.3,30.5,30.7,28.0,26.5,27.1,28.3,29.4,31.0,32.2,31.8,32.6,33.6,45.1,37.8,37.4,38.1,39.2,40.8
07:31:08.000,58.1,45.1,51.4,38.6,38.1,50.6,47.7,55.6,49.1,45.3,44.2,44.9,42.7,39.2,40.6,38.9,39.0,36.6,33.7,31.8,30.5,31.8,30.5,28.1,26.3,26.5,28.2,28.6,30.0,32.1,31.8,32.4,33.5,44.9,37.8,37.3,38.1,39.2,40.8
07:31:09.000,56.9,45.3,51.6,36.6,37.1,49.0,45.8,50.0,49.6,42.2,41.3,44.0,42.0,38.0,40.6,38.8,38.1,35.8,32.2,32.4,32.3,32.5,31.7,28.0,26.3,26.8,27.9,29.0,29.9,30.9,31.6,32.4,33.6,45.1,37.9,37.3,37.9,39.0,40.7
07:31:10.000,58.5,44.6,52.1,46.6,45.2,44.2,47.5,49.8,48.4,42.0,41.0,43.1,42.5,36.6,39.4,39.9,37.2,36.2,32.3,32.9,30.8,31.1,30.8,27.4,26.0,26.8,27.4,29.4,29.9,31.5,31.8,32.5,33.5,44.3,37.9,37.3,37.9,39.1,40.7
07:31:11.000,59.2,44.0,52.3,45.3,49.7,50.6,51.7,50.2,49.7,40.5,42.4,45.0,42.1,37.5,38.4,40.0,37.1,35.1,33.3,33.1,30.9,30.2,30.6,27.8,26.7,27.2,27.7,28.9,30.3,31.6,31.6,32.6,33.4,43.8,37.7,37.3,38.1,39.1,40.7
07:31:12.000,57.1,44.0,51.6,40.5,43.6,49.9,48.3,52.7,52.6,42.8,41.7,43.4,39.4,40.0,41.3,39.5,37.5,34.7,33.1,29.5,30.2,29.7,30.9,28.1,26.5,26.8,27.6,28.8,30.3,31.2,31.9,32.7,33.6,43.8,37.6,37.3,38.1,39.1,40.7
07:31:13.000,59.0,44.2,52.2,42.9,35.7,44.7,52.6,51.5,49.1,42.3,42.1,42.6,42.6,40.1,39.8,38.8,38.1,36.8,32.0,32.0,30.5,29.5,30.2,28.4,26.8,26.9,27.3,29.0,29.8,31.2,31.9,32.5,33.5,43.9,37.5,37.3,38.0,39.1,40.7
07:31:14.000,58.3,44.0,51.8,39.8,43.5,49.0,51.1,49.7,52.6,45.1,43.5,43.3,40.4,37.6,39.4,38.7,38.0,36.2,33.8,32.5,30.9,30.2,30.3,28.3,26.0,26.9,27.9,28.4,29.8,30.8,31.6,32.7,33.3,43.8,37.5,37.3,37.9,39.1,40.7
07:31:15.000,57.3,43.9,50.8,42.6,44.5,45.1,47.6,52.4,47.4,42.3,41.0,43.8,42.3,39.8,38.5,39.8,36.6,36.5,33.7,32.5,29.9,29.9,29.8,27.5,26.2,26.5,27.4,28.7,29.8,30.9,31.6,32.5,33.7,43.8,37.6,37.3,38.0,39.1,40.8
07:31:16.000,58.3,44.4,51.6,40.3,45.7,45.7,46.6,53.4,48.2,42.6,38.5,42.5,40.4,38.9,40.8,39.2,38.6,36.7,33.2,33.3,29.5,29.3,30.3,28.4,26.8,26.4,27.6,29.1,29.7,30.8,31.8,32.5,33.5,44.1,37.7,37.4,38.0,39.2,40.7
07:31:17.000,58.3,44.8,51.6,38.5,45.3,50.3,48.9,51.1,46.4,41.0,41.2,44.2,38.5,38.6,39.9,38.0,38.5,37.9,33.4,34.4,31.4,30.0,30.4,27.6,26.2,26.7,27.7,28.9,29.7,31.3,31.7,32.6,33.6,44.7,37.4,37.1,37.9,39.0,40.7
07:31:18.000,59.0,45.1,52.6,41.9,51.6,47.6,47.5,52.3,51.6,44.3,40.4,41.6,42.0,39.5,40.5,39.0,38.8,36.5,33.3,33.5,30.3,28.6,30.7,27.9,26.5,27.3,27.8,29.0,30.0,31.4,31.6,32.8,33.7,45.0,37.4,37.3,37.9,39.1,40.8
07:31:19.000,57.1,45.3,51.5,38.4,48.8,49.5,45.6,45.8,50.6,45.3,43.2,44.1,43.3,40.9,39.9,39.3,39.9,37.6,33.1,32.7,30.3,29.0,30.2,28.5,26.0,26.4,27.3,28.8,30.2,31.2,31.6,32.6,33.6,45.1,37.7,37.3,38.1,39.2,40.7
07:31:20.000,56.6,45.5,51.0,42.6,50.1,50.8,48.0,52.4,50.2,40.8,40.6,43.9,40.7,39.6,39.9,41.7,40.0,36.7,33.9,32.6,30.2,30.4,31.1,28.4,26.4,26.8,27.4,28.5,30.0,31.6,31.7,32.6,33.4,45.2,37.6,37.2,38.1,39.2,40.7
07:31:21.000,58.5,45.4,52.9,42.4,50.9,47.1,44.7,52.5,42.2,42.2,41.4,43.0,41.1,37.9,39.0,38.8,39.8,37.6,33.1,33.3,31.7,30.3,30.6,27.7,26.6,26.8,27.8,28.9,30.4,31.9,32.0,32.6,33.7,45.1,37.7,37.2,37.9,39.2,40.6
07:31:22.000,57.5,45.4,52.4,47.0,51.3,48.0,48.2,48.0,47.5,46.0,42.1,45.5,40.5,36.4,41.3,40.3,39.5,37.9,34.2,34.8,33.1,31.5,30.0,27.3,26.4,27.1,27.8,28.9,31.0,32.1,31.7,32.8,33.4,44.9,37.8,37.3,37.9,39.2,40.8
07:31:23.000,67.9,45.1,52.2,41.9,48.5,49.7,45.2,51.1,52.6,43.8,41.9,45.1,38.5,38.1,41.1,39.6,40.0,38.1,35.4,34.8,31.6,30.1,30.6,28.5,26.3,26.8,27.6,28.9,30.8,32.0,31.8,32.8,33.5,44.8,37.7,37.4,37.9,39.1,40.6
07:31:24.000,67.7,45.1,53.4,36.0,48.0,41.2,43.5,53.5,50.8,45.8,41.1,44.2,39.8,38.8,40.3,41.2,39.6,38.3,34.9,34.0,31.0,29.5,30.7,28.4,25.7,26.9,27.1,29.0,29.9,31.4,31.3,32.6,33.5,44.9,37.2,37.1,37.9,39.1,40.7
07:31:25.000,66.4,45.7,54.6,41.2,42.5,46.2,46.1,52.6,52.8,42.9,41.8,44.0,43.0,38.4,41.8,41.4,40.3,40.6,40.0,40.1,37.3,34.2,31.9,28.3,26.5,27.2,28.1,29.3,30.2,31.0,31.6,32.4,33.9,44.9,37.4,37.1,38.1,39.2,40.7
07:31:26.000,75.8,45.5,57.5,38.0,42.5,49.2,44.4,52.5,52.1,49.0,49.3,42.9,43.4,42.4,42.3,43.6,43.3,44.9,43.0,41.8,39.1,36.3,32.4,28.9,26.6,26.4,27.7,28.9,29.7,30.8,31.3,32.4,33.3,44.2,37.0,37.1,38.0,39.2,40.7
07:31:27.000,79.2,45.8,59.4,39.9,43.1,48.9,48.5,51.0,51.8,48.1,51.9,52.3,45.6,45.5,46.9,45.8,48.0,46.6,45.4,43.1,40.0,37.8,33.8,29.5,26.7,26.8,27.5,28.9,29.5,30.5,31.2,32.6,33.3,44.0,36.6,37.0,37.9,39.0,40.8
07:31:28.000,83.9,44.9,59.8,38.3,54.6,48.0,51.1,53.6,48.7,52.8,54.6,50.4,45.8,45.1,46.6,45.1,45.9,44.4,43.5,41.5,38.4,35.1,32.1,29.1,26.7,27.3,27.8,29.0,29.4,30.8,31.7,32.4,33.4,43.8,36.4,37.0,38.0,39.2,40.8
07:31:29.000,79.7,44.2,59.9,43.8,52.8,55.5,51.3,52.4,55.2,50.5,53.6,51.4,47.1,48.2,47.2,44.5,45.0,44.5,42.1,40.5,37.3,34.7,31.5,28.4,26.6,26.6,27.4,29.3,29.6,31.2,31.2,32.2,33.6,43.1,36.5,37.0,38.1,38.9,40.7
07:31:30.000,80.6,44.9,60.9,49.8,57.1,50.0,59.2,57.8,57.6,53.8,54.8,50.7,45.4,47.6,45.9,45.7,46.8,45.1,42.3,41.7,39.3,35.2,31.6,28.2,27.1,27.1,28.1,29.0,29.6,30.6,31.0,32.3,33.5,43.6,36.7,37.2,38.0,39.0,40.8
07:31:31.000,72.1,45.5,60.7,51.0,59.0,56.5,56.7,58.9,58.6,54.7,57.6,52.5,47.4,47.7,46.9,46.2,48.3,46.6,44.1,44.3,41.1,36.8,34.0,28.7,26.8,27.1,28.1,28.9,29.4,30.7,31.4,32.3,33.7,43.2,37.0,37.0,37.9,39.2,40.6
07:31:32.000,74.5,48.7,64.6,52.5,60.5,55.7,61.1,56.5,56.8,57.4,56.4,51.9,49.6,47.5,50.8,48.9,50.0,50.6,49.2,47.7,46.1,42.2,37.5,32.5,28.8,27.4,28.2,28.9,30.1,30.9,31.4,32.4,33.6,43.4,36.8,36.9,38.0,39.2,40.7
07:31:33.000,76.6,53.0,70.1,55.6,59.0,59.2,57.5,57.1,56.2,54.1,59.4,58.5,56.0,59.4,57.0,59.3,56.3,56.1,55.7,53.5,49.8,47.4,42.6,37.8,33.6,30.2,28.2,29.2,29.6,31.0,31.3,32.5,33.6,43.8,36.7,37.0,37.9,39.2,40.7
07:31:34.000,81.7,54.9,72.5,53.5,62.9,58.5,59.3,60.2,61.2,62.7,64.5,60.8,59.7,63.1,60.5,62.6,59.1,57.7,57.8,54.8,51.9,48.6,45.7,40.7,36.7,33.0,29.5,29.4,29.9,30.7,31.5,32.6,33.6,44.1,36.5,37.1,37.9,39.1,40.7
07:31:35.000,84.0,56.5,74.6,50.6,62.1,57.5,61.6,64.8,69.0,63.0,65.3,65.9,63.3,62.3,61.8,63.8,62.6,61.7,57.8,56.3,53.9,50.9,46.5,42.0,39.2,35.2,31.6,30.2,30.3,30.6,31.1,32.6,33.6,44.2,36.4,37.1,37.9,39.1,40.7
07:31:36.000,86.4,57.1,76.2,53.5,55.1,63.2,61.4,66.8,67.7,65.2,67.3,68.0,68.2,66.9,65.2,62.3,62.6,61.1,58.7,57.8,54.8,51.7,48.0,44.2,40.4,36.2,32.4,30.7,30.1,30.7,31.5,32.4,33.7,43.9,36.2,37.2,38.0,39.1,40.8
07:31:37.000,83.7,57.6,78.1,52.5,61.3,66.8,69.8,68.3,70.6,69.9,72.1,70.4,68.8,65.7,63.7,63.6,62.7,61.9,59.3,57.4,55.3,52.9,49.6,44.9,40.6,37.2,32.9,31.2,30.2,31.1,31.4,32.3,33.5,43.3,36.4,37.1,37.9,39.0,40.8
07:31:38.000,83.8,59.4,79.4,53.0,68.6,71.5,66.9,67.3,70.0,74.5,71.9,72.9,71.6,68.9,65.2,64.5,64.4,62.8,61.6,59.6,57.1,54.1,50.0,46.4,42.2,38.6,34.7,31.8,31.2,31.3,31.7,32.3,33.5,43.6,36.1,37.0,38.0,39.0,40.8
07:31:39.000,84.9,60.8,80.5,62.8,69.2,72.0,70.3,71.0,73.8,73.1,72.8,72.4,73.2,71.4,68.2,68.5,65.8,66.5,62.5,60.4,57.2,54.6,51.7,47.9,44.4,40.5,36.5,33.6,32.4,31.8,31.6,32.6,33.7,43.6,36.3,37.2,38.0,39.0,40.9
07:31:40.000,85.7,61.5,81.9,64.3,71.6,69.0,70.0,70.8,74.3,71.6,78.5,75.0,75.2,70.8,69.6,69.2,67.8,65.6,64.3,61.7,58.3,55.2,52.0,47.7,43.8,39.8,35.9,33.1,31.6,31.8,31.5,32.2,33.7,44.1,36.4,37.1,38.1,39.2,40.9
07:31:41.000,86.1,60.8,81.0,68.4,67.8,69.5,74.0,70.8,71.0,73.7,76.1,76.4,77.6,72.3,70.4,69.1,67.4,64.6,63.9,60.9,58.5,54.6,51.1,46.4,42.7,38.9,34.5,31.7,31.5,30.9,31.7,32.4,33.4,43.1,36.3,37.1,38.1,39.0,40.8
07:31:42.000,84.1,60.2,79.7,63.6,70.7,73.0,74.0,72.4,71.7,70.5,78.2,74.3,73.4,72.2,69.8,66.3,66.2,64.9,62.5,60.9,57.7,54.8,50.1,46.6,42.3,37.7,33.7,31.4,30.4,31.3,31.5,32.4,33.6,43.0,36.4,37.3,38.0,39.1,40.8
07:31:43.000,83.9,59.8,78.2,67.6,69.5,72.5,69.9,71.5,71.8,71.5,73.7,75.0,73.5,71.0,68.5,67.1,65.5,63.9,61.6,60.3,57.7,54.3,51.8,46.1,41.9,37.8,33.8,31.2,30.7,30.9,31.1,32.5,33.6,43.0,36.2,37.1,38.0,39.1,40.7
