;HEADER SIZE...................,32                                             
;VEHICLE NAME..................,FALCON 9 BLOCK 4                               
;MISSION NAME..................,CRS-15                                         
;MISSION TYPE..................,ISS RESUPPLY                                   
;MISSION OPERATOR..............,SPACE EXPLORATION TECHNOLOGIES CORP.           
;MISSION CUSTOMER..............,NASA                                           
;LAUNCH DATE...................,29 JUNE 2018                                   
;LAUNCH TIME  (UTC ZULU).......,09:42:42.000                                   
;EVENT DESCRIPTION.............,LAUNCH NOISE                                   
;EVENT SITE....................,SLC-40, CAPE CANAVERAL AIR FORCE STATION, FL   
;PROJECT.......................,ACRP PROJECT 02-81                             
;ORGANIZATION..................,BLUE RIDGE RESEARCH AND CONSULTING, LLC        
;RECORDER LOCATION.............,Pump House 7                                   
;RECORDER LOCATION SHORT NAME..,PUMP7                                          
;SAMPLES TOTAL.................,354                                            
;RUN NOTES.....................,NONE                                           
;CH NUMBER.....................,01                                             
;CH DESCRIPTION................,1/4" MICROPHONE PRES-FIELD                     
;TRANSDUCER MODEL..............,GRAS 40BD                                      
;TRANSDUCER SN.................,41699                                          
;MEAS SENS (mV/Pa).............,1.952                                          
;ORIENTATION...................,INVERTED                                       
;WINDSCREEN....................,YES                                            
;GRID..........................,YES                                            
;PREAMP MODEL..................,GRAS 26CB                                      
;PREAMP SN.....................,54717                                          
;RECORDER MODEL................,NI-9234                                        
;COORDINATES...................,GEOGRAPHIC                                     
;DATUM.........................,WGS 84                                         
;LATITUDE......................,28.573337                                      
;LONGITUDE.....................,-80.578487                                     
;MICROPHONE HEIGHT AGL M.......,0.0                                            
;CH NOTES......................,NEARBY PUMP STATION IN OPERATION               
AMBIENT,73.5,58.5,71.6,52.7,50.7,57.0,54.4,56.6,55.6,54.1,57.7,69.3,65.4,57.9,65.7,59.1,55.9,53.1,46.2,43.6,42.1,42.3,43.3,40.8,41.1,41.5,42.1,42.8,43.6,44.7,45.6,46.4,47.4,48.4,49.4,50.4,51.4,52.4,53.4
09:41:51.000,73.4,57.7,71.6,48.0,49.9,54.5,54.5,54.7,53.6,52.3,60.6,68.7,64.4,58.5,65.7,58.5,55.7,53.4,45.1,43.7,42.6,42.5,43.2,40.5,40.5,40.8,41.6,42.8,43.7,44.8,45.5,46.4,47.5,48.2,49.5,50.3,51.4,52.3,53.3
09:41:52.000,74.1,57.7,72.0,52.0,53.0,60.2,58.4,54.9,54.0,52.5,57.5,69.6,64.7,59.1,65.9,58.7,56.2,53.0,45.7,43.2,41.5,41.8,43.0,39.0,40.2,40.4,42.0,42.2,43.7,44.5,45.3,46.6,47.4,48.1,49.6,50.4,51.3,52.6,53.5
09:41:53.000,72.4,57.7,70.5,44.6,46.5,53.8,53.0,55.9,57.0,54.7,56.2,66.0,63.8,56.3,65.9,59.2,55.0,53.4,45.5,44.1,40.6,41.2,42.2,39.6,40.4,40.4,41.8,43.0,43.3,44.6,45.4,46.7,47.4,48.4,49.5,50.4,51.4,52.5,53.5
09:41:54.000,73.5,57.7,71.6,47.7,49.8,53.9,53.1,57.5,55.9,52.2,58.8,71.4,63.9,56.8,65.7,58.6,57.1,53.6,46.9,43.1,41.2,41.2,42.9,40.2,41.2,40.4,41.4,43.0,43.6,44.6,45.4,46.3,47.3,48.4,49.4,50.5,51.5,52.5,53.4
09:41:55.000,73.2,57.7,71.2,48.3,50.6,55.5,55.2,56.4,56.7,52.2,57.1,69.4,65.2,57.8,65.0,57.6,55.7,53.5,46.0,44.0,41.7,41.6,42.8,39.7,40.7,40.9,42.1,43.1,43.5,44.4,45.7,46.5,47.3,48.4,49.5,50.4,51.3,52.4,53.4
09:41:56.000,74.0,57.7,71.9,51.5,54.1,56.0,53.4,56.5,56.3,57.2,58.3,67.8,63.5,56.7,65.5,58.0,56.0,53.2,45.9,42.7,42.0,41.5,43.1,39.5,40.6,41.1,41.6,42.7,43.4,44.7,45.6,46.1,47.2,48.3,49.2,50.3,51.4,52.4,53.5
09:41:57.000,72.2,57.7,70.3,40.9,48.0,51.4,51.2,55.0,54.2,56.1,57.5,65.9,65.5,56.7,65.3,58.3,55.6,52.7,46.2,43.7,41.1,41.6,43.6,39.6,41.3,40.6,41.7,42.3,43.4,44.3,45.3,46.6,47.4,48.3,49.6,50.4,51.3,52.5,53.4
09:41:58.000,73.5,57.7,71.4,47.7,51.4,59.9,58.2,55.4,54.4,49.6,58.0,71.0,64.0,56.2,64.1,58.2,56.2,53.6,46.2,43.4,41.6,40.7,43.1,41.1,40.9,41.1,41.9,42.5,43.9,45.0,45.7,46.4,47.1,48.5,49.4,50.3,51.3,52.4,53.5
09:41:59.000,73.1,57.7,71.2,49.4,49.9,53.2,50.8,56.1,54.2,51.9,59.1,70.8,65.8,56.9,65.0,57.6,55.5,52.5,45.0,42.9,41.6,41.3,42.4,40.3,40.5,41.6,41.5,42.7,43.8,45.0,45.7,46.2,47.5,48.5,49.5,50.4,51.2,52.4,53.5
09:42:00.000,73.5,57.8,71.6,49.8,49.4,56.9,54.2,57.1,55.4,57.3,57.7,67.3,64.0,56.6,64.9,58.2,56.5,53.4,46.4,44.0,41.3,41.8,43.0,40.1,40.5,40.7,41.7,42.8,43.7,44.5,45.5,46.2,47.5,48.3,49.4,50.6,51.4,52.4,53.5
09:42:01.000,72.8,57.7,70.8,52.5,52.8,57.1,54.2,56.8,56.7,54.4,55.7,68.7,64.5,58.0,65.6,58.2,55.1,53.3,46.0,43.9,42.4,41.1,43.0,40.7,40.9,41.2,41.7,42.5,43.4,44.7,45.4,46.4,47.4,48.6,49.4,50.4,51.3,52.3,53.4
09:42:02.000,72.8,57.7,71.0,50.1,49.7,55.3,54.8,58.0,56.4,52.2,58.0,67.3,64.7,57.8,64.8,58.0,56.2,53.9,45.9,43.8,42.7,41.5,42.6,39.5,40.0,40.2,41.5,42.8,43.3,43.9,45.4,46.3,47.5,48.5,49.4,50.6,51.5,52.5,53.4
09:42:03.000,73.6,57.7,71.6,50.4,52.0,59.1,56.5,55.4,55.1,55.6,60.1,71.3,64.7,59.6,65.5,58.5,56.2,53.5,47.4,44.5,42.4,42.1,43.1,39.1,40.3,41.1,41.5,42.6,43.5,44.3,45.3,46.6,47.5,48.2,49.4,50.3,51.5,52.3,53.5
09:42:04.000,73.3,57.7,71.4,54.1,53.6,48.3,47.3,57.2,56.9,55.5,55.1,67.3,66.4,58.6,65.1,58.7,56.4,53.6,47.2,43.8,41.7,41.9,42.3,39.5,40.5,40.6,41.7,42.3,43.4,44.3,45.6,46.7,47.4,48.3,49.4,50.5,51.4,52.4,53.3
09:42:05.000,73.4,57.7,71.4,53.3,50.7,55.5,55.7,57.3,56.7,50.8,59.4,71.1,64.6,56.9,65.1,57.9,56.0,53.7,45.9,43.2,41.8,41.4,42.6,38.8,40.3,40.6,42.1,42.6,43.3,44.3,45.5,46.8,47.5,48.5,49.3,50.6,51.2,52.3,53.6
09:42:06.000,72.7,57.8,70.7,47.5,50.6,54.6,53.3,56.6,55.9,51.5,58.5,64.9,65.1,58.7,65.6,58.3,56.5,53.5,45.5,44.0,42.3,41.7,44.1,39.5,40.0,41.0,41.4,42.5,43.8,44.7,45.7,46.3,47.3,48.4,49.5,50.3,51.4,52.4,53.4
09:42:07.000,72.6,57.7,70.7,48.7,46.9,52.5,51.7,53.9,54.6,54.8,55.9,69.3,64.5,56.6,65.2,58.3,55.9,53.9,45.7,44.0,42.1,41.7,43.2,39.9,39.9,40.7,41.2,42.7,43.4,44.7,45.7,46.4,47.3,48.4,49.4,50.4,51.7,52.5,53.5
09:42:08.000,73.5,57.8,71.5,46.5,50.4,60.4,58.2,56.1,54.4,52.9,58.7,67.3,64.1,58.3,65.1,58.6,55.5,53.5,45.7,44.1,41.7,41.7,42.9,40.1,39.3,40.2,41.7,42.5,43.3,45.1,46.0,46.4,47.3,48.6,49.4,50.4,51.4,52.5,53.4
09:42:09.000,73.3,57.7,71.4,50.9,50.3,55.6,54.4,57.6,56.7,49.2,57.4,71.0,65.3,58.2,65.7,59.4,56.0,53.7,46.3,43.1,40.8,41.4,42.1,39.3,40.5,41.1,41.6,42.8,43.4,44.2,45.5,46.2,47.1,48.3,49.5,50.3,51.3,52.3,53.4
09:42:10.000,73.1,57.7,71.0,46.4,47.8,57.4,55.3,56.8,57.6,55.3,54.8,70.3,63.9,58.6,64.2,58.1,56.2,54.4,46.6,44.3,42.4,40.5,43.6,39.5,40.4,41.2,41.8,42.6,43.4,44.6,45.5,46.4,47.4,48.5,49.3,50.4,51.3,52.4,53.5
09:42:11.000,72.6,57.7,70.8,50.0,48.3,53.7,52.0,56.6,54.9,56.5,56.8,67.6,64.0,56.5,65.2,59.2,56.5,53.7,45.9,44.5,41.6,40.1,41.6,39.1,39.9,40.4,41.4,42.5,43.3,44.4,45.6,46.7,47.5,48.5,49.4,50.3,51.3,52.5,53.5
09:42:12.000,73.7,57.8,71.8,53.3,53.7,58.1,56.6,56.1,54.6,52.4,57.4,68.3,62.6,55.8,66.0,59.2,56.6,53.5,47.0,43.3,41.5,41.5,43.1,40.1,40.2,40.8,42.3,42.9,43.3,44.5,45.7,47.1,47.2,48.4,49.5,50.4,51.4,52.4,53.4
09:42:13.000,72.3,57.7,70.4,47.2,50.1,56.8,56.2,56.0,56.0,50.7,57.9,64.9,63.8,57.4,65.0,58.3,56.0,53.0,46.3,43.7,41.8,40.6,43.0,39.6,40.2,40.5,41.3,42.5,43.5,44.5,45.5,46.3,47.5,48.4,49.3,50.4,51.3,52.4,53.5
