;HEADER SIZE...................,32                                             
;VEHICLE NAME..................,FALCON 9 BLOCK 4                               
;MISSION NAME..................,CRS-15                                         
;MISSION TYPE..................,ISS RESUPPLY                                   
;MISSION OPERATOR..............,SPACE EXPLORATION TECHNOLOGIES CORP.           
;MISSION CUSTOMER..............,NASA                                           
;LAUNCH DATE...................,29 JUNE 2018                                   
;LAUNCH TIME  (UTC ZULU).......,09:42:42.000                                   
;EVENT DESCRIPTION.............,LAUNCH NOISE                                   
;EVENT SITE....................,SLC-40, CAPE CANAVERAL AIR FORCE STATION, FL   
;PROJECT.......................,ACRP PROJECT 02-81                             
;ORGANIZATION..................,BLUE RIDGE RESEARCH AND CONSULTING, LLC        
;RECORDER LOCATION.............,NASA Causeway                                  
;RECORDER LOCATION SHORT NAME..,CSWY                                           
;SAMPLES TOTAL.................,333                                            
;RUN NOTES.....................,NONE                                           
;CH NUMBER.....................,20                                             
;CH DESCRIPTION................,1/2" MICROPHONE PRES-FIELD                     
;TRANSDUCER MODEL..............,PCB 377B11                                     
;TRANSDUCER SN.................,126877                                         
;MEAS SENS (mV/Pa).............,45.380                                         
;ORIENTATION...................,INVERTED                                       
;WINDSCREEN....................,YES                                            
;GRID..........................,YES                                            
;PREAMP MODEL..................,PCB 426E01                                     
;PREAMP SN.....................,18839                                          
;RECORDER MODEL................,NI-9234                                        
;COORDINATES...................,GEOGRAPHIC                                     
;DATUM.........................,WGS 84                                         
;LATITUDE......................,28.499815                                      
;LONGITUDE.....................,-80.589733                                     
;MICROPHONE HEIGHT AGL M.......,0.0                                            
;CH NOTES......................,ACTIVE PUBLIC ADDRESS SYSTEM                   
AMBIENT,75.8,69.3,75.6,41.7,45.8,45.7,46.8,48.2,51.9,52.1,52.3,57.0,57.3,53.6,55.0,56.0,61.2,68.7,70.2,62.4,63.5,58.9,67.4,66.4,56.8,52.8,50.6,48.9,42.7,42.3,37.4,33.1,33.8,43.9,43.0,28.2,25.3,26.1,26.5
09:42:29.000,65.8,56.0,65.0,39.2,41.3,43.3,44.5,45.3,48.5,53.6,50.7,53.6,55.0,51.2,49.6,47.2,51.8,53.4,54.7,43.4,40.1,32.2,37.0,33.3,21.8,20.0,21.6,22.9,22.2,21.7,20.8,26.4,33.9,43.4,39.0,27.0,24.9,25.5,26.3
09:42:30.000,69.7,61.4,69.3,40.8,38.9,42.6,46.2,46.3,49.2,55.3,46.8,54.1,55.2,51.1,50.1,53.4,60.6,63.6,63.2,59.0,57.0,53.9,61.3,58.7,40.3,38.6,38.5,39.1,33.6,31.8,28.8,27.3,34.0,43.0,41.8,28.2,25.0,25.6,26.3
09:42:31.000,64.8,47.8,63.0,40.8,46.8,45.7,43.5,47.6,53.3,53.4,51.7,58.9,58.0,51.1,52.8,48.6,53.3,52.3,46.7,44.3,38.4,27.0,25.7,26.0,20.6,21.2,23.9,23.4,22.1,21.4,20.6,26.6,33.8,42.9,41.1,29.3,24.5,25.4,26.3
09:42:32.000,74.7,69.5,74.5,43.9,45.1,44.9,42.5,48.4,52.5,52.5,47.9,58.5,56.5,50.3,51.9,50.1,55.7,71.2,61.6,52.9,67.5,58.0,72.2,66.5,60.7,54.5,49.7,51.5,48.3,40.6,42.8,40.2,35.2,43.1,40.8,29.5,25.3,26.1,26.6
09:42:33.000,77.4,73.1,77.3,41.7,42.7,43.3,45.0,46.4,46.8,50.4,51.2,56.0,59.0,51.2,50.0,48.6,56.8,70.2,54.1,56.9,70.0,58.3,68.3,71.2,58.7,63.7,60.4,56.6,48.8,44.6,37.5,31.3,33.9,42.7,41.4,29.8,25.5,26.7,26.5
09:42:34.000,72.4,62.9,71.3,41.1,47.2,49.4,50.2,52.3,50.2,50.7,53.8,59.5,58.0,51.1,50.3,51.0,60.4,64.3,58.6,59.7,60.8,54.2,61.4,50.2,38.9,33.5,30.9,34.7,41.0,43.3,31.2,26.7,33.5,42.9,43.2,30.1,26.5,27.5,27.0
09:42:35.000,70.4,64.0,69.8,40.8,43.6,40.5,45.2,48.4,51.8,53.2,53.7,56.8,57.0,52.9,52.7,51.0,56.1,60.1,61.0,52.9,51.0,43.8,50.7,46.4,34.1,28.4,29.2,35.5,29.1,25.9,23.6,25.9,33.3,42.3,37.6,27.4,26.1,27.1,27.0
09:42:36.000,74.4,70.2,74.2,42.9,45.1,45.2,47.7,50.3,47.4,50.5,54.5,60.8,58.2,51.7,52.6,52.9,59.8,68.2,65.7,57.9,61.8,54.0,67.8,73.5,57.5,51.3,49.3,51.1,41.6,44.0,38.2,33.9,34.0,42.8,38.8,27.8,25.8,26.4,26.5
09:42:37.000,74.4,70.2,74.2,37.3,40.3,41.4,42.0,45.8,50.8,54.4,56.5,56.9,57.2,52.6,53.8,50.7,60.3,59.8,56.2,60.1,51.8,49.6,65.3,63.5,58.1,52.2,47.7,39.6,32.6,35.7,32.5,28.2,34.0,43.3,38.1,26.9,24.4,25.3,26.4
