;HEADER SIZE...................,33                                             
;VEHICLE NAME..................,DELTA IV HEAVY                                 
;MISSION NAME..................,PARKER SOLAR PROBE                             
;MISSION TYPE..................,HELIOPHYSICS                                   
;MISSION OPERATOR..............,UNITED LAUNCH ALLIANCE                         
;MISSION CUSTOMER..............,NASA                                           
;LAUNCH DATE...................,12 AUGUST 2018                                 
;LAUNCH TIME  (UTC ZULU).......,07:31:00.000                                   
;EVENT DESCRIPTION.............,LAUNCH NOISE                                   
;EVENT SITE....................,SLC-37B, CCAFS, FL                             
;PROJECT.......................,ACRP PROJECT 02-81                             
;ORGANIZATION..................,BLUE RIDGE RESEARCH AND CONSULTING, LLC        
;RECORDER LOCATION.............,CCAFS Bldg 42910                               
;RECORDER LOCATION SHORT NAME..,B42910                                         
;SAMPLES TOTAL.................,315                                            
;RUN NOTES.....................,NONE                                           
;CH NUMBER.....................,09                                             
;CH DESCRIPTION................,1/4" MICROPHONE PRES-FIELD                     
;TRANSDUCER MODEL..............,GRAS 40BD                                      
;TRANSDUCER SN.................,41699                                          
;MEAS SENS (mV/Pa).............,1.928                                          
;ORIENTATION...................,GRAZING                                        
;WINDSCREEN....................,YES                                            
;GRID..........................,YES                                            
;PREAMP MODEL..................,GRAS 26CB                                      
;PREAMP SN.....................,54717                                          
;RECORDER MODEL................,NI-9234                                        
;COORDINATES...................,GEOGRAPHIC                                     
;DATUM.........................,WGS 84                                         
;LATITUDE......................,28.532887                                      
;LONGITUDE.....................,-80.574938                                     
;MICROPHONE HEIGHT AGL M.......,1.5                                            
;CH NOTES......................,NONE                                           
;QC NOTE.......................,NONE                                           
AMBIENT,71.9,58.1,58.8,61.4,60.5,58.8,57.0,54.2,50.8,47.7,46.7,44.8,42.4,43.9,41.4,39.3,38.4,37.9,37.4,37.4,38.0,39.2,39.0,39.7,40.6,41.1,41.8,42.9,43.9,44.7,45.7,46.7,47.6,48.6,49.6,50.6,51.6,52.6,53.6
07:30:48.031,67.3,57.4,57.9,50.9,52.2,49.9,52.1,49.9,49.2,47.6,47.3,44.8,44.5,41.6,40.9,37.4,38.2,38.7,38.0,37.8,38.4,40.1,39.2,39.8,40.5,41.3,42.0,42.7,43.5,45.0,45.5,46.8,48.0,48.7,49.6,50.3,51.5,52.5,53.5
07:30:49.031,69.8,57.4,57.5,61.3,58.6,52.5,48.8,47.2,44.3,46.0,45.9,44.4,40.2,42.5,40.4,39.3,39.0,37.7,37.7,38.0,37.9,39.5,40.5,39.9,41.0,41.1,42.4,42.6,43.7,44.4,45.4,46.8,47.6,48.8,49.7,50.7,51.5,52.5,53.4
07:30:50.031,66.1,57.3,57.7,52.4,53.3,54.0,53.4,47.5,46.5,46.5,46.1,44.0,43.6,46.2,40.0,38.9,36.7,36.8,36.9,37.4,37.9,38.9,38.9,39.9,40.2,40.8,41.7,42.8,43.7,44.6,45.5,46.9,47.8,48.6,49.5,50.6,51.5,52.5,53.6
07:30:51.031,66.1,57.4,57.4,52.0,48.3,47.3,47.3,45.7,44.3,46.5,44.5,41.7,40.7,43.8,41.3,39.4,39.0,38.3,38.2,37.9,38.4,39.0,39.0,39.4,39.9,41.3,41.9,43.1,43.7,44.8,45.6,46.6,47.6,48.6,49.7,50.7,51.6,52.6,53.6
07:30:52.031,68.1,57.4,57.5,46.8,47.1,49.6,47.4,48.0,46.1,42.8,42.9,44.2,42.3,46.9,42.2,39.0,38.2,37.0,37.6,37.2,37.0,38.4,39.1,39.6,40.5,41.8,41.9,42.8,43.6,44.6,45.7,47.0,47.7,48.5,49.5,50.5,51.8,52.7,53.6
07:30:53.031,67.6,57.4,57.7,51.1,53.6,54.6,51.0,50.4,47.3,44.7,43.6,42.7,40.9,46.1,40.1,38.2,40.3,39.6,39.1,37.9,39.4,39.3,39.3,40.6,41.3,41.7,41.5,42.4,43.7,44.8,46.0,47.1,47.8,48.4,49.6,50.7,51.5,52.6,53.6
07:30:54.031,68.4,57.4,57.7,52.0,51.0,51.3,49.7,50.6,47.6,45.7,46.2,44.0,41.5,44.9,40.7,38.9,38.6,38.4,36.9,37.6,37.5,38.8,38.0,39.1,40.4,40.8,41.8,42.5,43.8,44.6,45.5,46.5,47.7,48.8,49.9,50.6,51.7,52.7,53.7
07:30:55.031,68.3,57.3,57.4,54.1,53.8,50.1,47.5,49.2,45.6,49.3,44.0,43.9,42.0,45.7,41.3,39.1,37.8,38.5,36.5,38.0,38.7,40.3,38.7,39.3,40.2,40.8,42.1,42.6,43.8,44.3,45.9,46.5,47.7,48.6,49.6,50.7,51.5,52.6,53.6
07:30:56.031,74.1,57.3,57.5,54.0,54.6,53.7,49.7,50.3,50.9,43.1,44.8,42.2,42.8,44.2,39.5,39.9,40.3,37.8,37.3,37.4,36.8,38.2,39.0,39.2,40.4,40.4,42.0,42.7,43.6,44.9,45.9,46.5,47.6,48.6,49.6,50.6,51.5,52.6,53.5
