;HEADER SIZE...................,33                                             
;VEHICLE NAME..................,DELTA IV HEAVY                                 
;MISSION NAME..................,PARKER SOLAR PROBE                             
;MISSION TYPE..................,HELIOPHYSICS                                   
;MISSION OPERATOR..............,UNITED LAUNCH ALLIANCE                         
;MISSION CUSTOMER..............,NASA                                           
;LAUNCH DATE...................,12 AUGUST 2018                                 
;LAUNCH TIME  (UTC ZULU).......,07:31:00.000                                   
;EVENT DESCRIPTION.............,LAUNCH NOISE                                   
;EVENT SITE....................,SLC-37B, CCAFS, FL                             
;PROJECT.......................,ACRP PROJECT 02-81                             
;ORGANIZATION..................,BLUE RIDGE RESEARCH AND CONSULTING, LLC        
;RECORDER LOCATION.............,Titan III & Loop Rd                            
;RECORDER LOCATION SHORT NAME..,TITAN                                          
;SAMPLES TOTAL.................,315                                            
;RUN NOTES.....................,NONE                                           
;CH NUMBER.....................,13                                             
;CH DESCRIPTION................,1/2" MICROPHONE FREE-FIELD                     
;TRANSDUCER MODEL..............,PCB 378A07                                     
;TRANSDUCER SN.................,157358                                         
;MEAS SENS (mV/Pa).............,5.589                                          
;ORIENTATION...................,INVERTED                                       
;WINDSCREEN....................,YES                                            
;GRID..........................,YES                                            
;PREAMP MODEL..................,PCB 426E01                                     
;PREAMP SN.....................,122698                                         
;RECORDER MODEL................,NI-9234                                        
;COORDINATES...................,GEOGRAPHIC                                     
;DATUM.........................,WGS 84                                         
;LATITUDE......................,28.535545                                      
;LONGITUDE.....................,-80.592512                                     
;MICROPHONE HEIGHT AGL M.......,0.0                                            
;CH NOTES......................,NONE                                           
;QC NOTE.......................,NONE                                           
AMBIENT,69.5,49.3,53.3,43.7,44.8,44.8,45.5,48.3,47.6,42.5,44.0,45.9,43.4,42.5,40.3,37.9,41.2,35.6,31.8,37.8,35.4,37.5,38.1,36.3,33.3,32.6,33.0,34.1,34.4,35.4,36.4,37.3,38.3,39.3,40.3,41.2,42.3,43.3,44.3
07:30:53.117,66.8,49.0,52.7,39.6,42.1,40.8,40.6,42.3,42.0,43.3,43.9,44.6,40.0,42.7,40.7,37.3,39.9,33.7,32.0,34.3,29.5,33.2,34.9,40.4,39.1,33.9,33.2,35.1,34.7,35.8,36.4,37.2,38.3,39.7,40.5,41.3,42.1,43.3,44.3
07:30:54.117,68.0,50.5,54.5,37.8,41.2,42.9,42.5,45.2,46.3,41.9,44.9,45.8,43.1,44.3,39.0,36.6,40.8,41.0,32.0,37.2,45.3,41.7,41.1,35.0,32.4,31.3,32.6,33.8,35.1,36.3,36.2,36.9,38.6,39.1,40.3,41.3,42.2,43.2,44.3
07:30:55.117,65.8,48.6,53.1,46.8,47.7,43.4,45.8,48.1,42.8,45.7,46.3,45.8,41.8,42.4,42.7,37.9,37.6,33.6,32.8,33.3,31.4,31.5,37.9,41.2,33.9,31.8,32.4,33.6,33.9,35.4,36.3,37.1,38.2,39.3,40.2,41.2,42.2,43.3,44.2
07:30:56.117,57.8,48.2,51.9,42.6,44.8,42.2,46.4,51.4,43.7,41.1,46.4,45.9,39.0,41.7,41.1,35.8,37.9,34.3,32.5,31.6,30.3,31.4,34.2,35.3,32.2,31.8,32.2,33.3,34.5,35.6,36.6,37.4,38.3,39.5,40.5,41.3,42.3,43.2,44.4
07:30:57.117,71.9,48.4,52.6,41.0,43.0,46.2,45.6,50.7,47.5,41.2,46.6,44.5,42.4,42.0,41.0,38.6,38.5,35.6,34.0,32.9,33.8,31.6,32.6,32.5,31.4,31.6,32.5,33.4,34.1,35.7,36.0,37.1,38.2,39.3,40.4,41.3,42.2,43.1,44.3
07:30:58.117,72.4,48.1,52.6,47.4,47.8,45.5,45.9,46.0,46.6,40.6,43.1,47.6,44.5,42.0,39.3,39.8,37.4,34.9,32.2,29.7,30.0,32.9,34.7,32.7,31.4,31.8,32.6,33.4,34.3,35.3,36.4,37.5,38.4,39.4,40.3,41.1,42.3,43.3,44.3
07:30:59.117,69.3,48.1,52.3,45.9,46.1,45.7,47.9,52.5,45.1,44.1,44.7,45.1,40.8,39.0,40.9,36.0,35.6,34.1,31.6,34.0,30.5,35.8,35.4,32.4,33.3,31.1,32.1,33.2,34.4,35.3,36.1,37.3,38.3,39.4,40.3,41.4,42.2,43.3,44.3
07:31:00.117,72.2,48.4,52.8,38.9,40.7,40.9,43.9,46.3,39.3,46.7,48.0,45.7,39.8,43.4,40.5,35.9,40.3,35.2,31.5,34.0,31.0,36.0,38.8,34.7,31.6,31.6,33.2,34.9,34.9,35.5,36.6,37.0,38.1,39.4,40.4,41.3,42.3,43.2,44.3
07:31:01.117,70.3,53.7,57.2,43.2,41.6,42.7,44.6,50.0,47.0,43.3,46.3,45.8,43.4,43.0,41.5,38.0,42.2,46.2,39.3,34.2,46.7,43.0,46.3,47.5,40.9,36.5,34.9,38.0,37.0,36.5,36.6,37.1,38.0,39.3,40.2,41.2,42.3,43.3,44.3
07:31:02.117,68.0,48.3,53.1,42.9,43.9,44.3,40.0,46.3,47.2,43.7,47.1,46.4,43.1,41.1,39.9,36.2,37.8,34.8,30.7,30.1,28.8,29.4,29.4,30.1,30.2,30.3,32.4,33.9,34.2,34.9,36.4,37.4,38.1,39.2,40.2,41.1,42.1,43.2,44.2
07:31:03.117,65.0,48.0,53.0,47.7,48.3,49.5,50.2,51.1,49.3,45.5,47.2,45.6,43.8,42.0,39.9,38.0,37.5,33.9,32.1,31.0,29.5,28.1,28.6,29.6,31.1,30.9,32.5,33.2,34.3,35.2,36.5,37.6,38.4,39.1,40.4,41.3,42.1,43.3,44.4
07:31:04.117,74.3,48.2,52.7,43.9,46.2,45.9,40.7,43.4,41.7,46.4,43.3,46.4,44.7,44.5,39.2,37.0,37.1,34.8,31.6,33.5,32.2,33.9,35.7,31.6,30.5,31.8,32.6,33.6,34.4,35.7,36.8,37.3,38.3,39.5,40.2,41.2,42.2,43.3,44.2
07:31:05.117,62.4,48.2,52.0,47.9,44.8,39.7,43.0,46.5,46.0,45.5,45.5,45.1,41.2,39.8,38.0,38.4,35.1,33.1,32.0,33.8,32.4,32.8,34.3,35.0,31.6,31.9,32.6,32.9,34.3,35.2,36.2,37.3,38.3,39.5,40.3,41.4,42.3,43.2,44.2
07:31:06.117,68.7,48.3,53.0,41.3,41.9,44.8,45.5,42.2,43.6,46.2,46.5,46.6,41.7,43.6,41.2,37.5,35.9,33.3,32.3,32.5,32.3,40.0,34.0,33.4,32.4,32.1,32.3,33.2,34.3,35.6,36.2,37.4,37.9,39.1,40.4,41.2,42.4,43.2,44.3
07:31:07.117,70.9,48.0,52.0,46.0,45.3,44.4,47.3,50.4,45.7,43.5,40.1,46.0,43.8,40.5,39.9,36.9,37.2,34.5,33.4,32.1,32.3,31.9,33.9,33.2,31.9,32.0,32.6,33.4,34.0,35.6,35.9,36.7,38.1,39.1,40.5,41.2,42.3,43.3,44.4
07:31:08.117,87.0,48.3,61.0,75.1,71.5,69.6,66.6,56.9,50.7,54.4,46.4,47.5,44.0,42.4,41.9,41.7,39.3,37.8,39.2,37.0,35.0,36.0,35.1,31.2,31.9,31.8,32.5,33.6,34.3,35.4,36.5,37.1,38.3,39.3,40.4,41.4,42.1,43.4,44.2
07:31:09.117,86.0,51.1,67.0,75.9,74.6,73.2,65.7,61.3,59.2,60.5,56.3,55.0,50.1,46.8,48.2,46.2,47.0,46.9,45.9,47.4,45.1,42.3,39.6,38.2,36.7,35.1,33.4,33.6,34.2,35.2,36.3,37.4,38.3,39.2,40.4,41.3,42.3,43.4,44.3
