;HEADER SIZE...................,35                                             
;VEHICLE NAME..................,DELTA IV HEAVY                                 
;MISSION NAME..................,PARKER SOLAR PROBE                             
;MISSION TYPE..................,HELIOPHYSICS                                   
;MISSION OPERATOR..............,UNITED LAUNCH ALLIANCE                         
;MISSION CUSTOMER..............,NASA                                           
;LAUNCH DATE...................,12 AUGUST 2018                                 
;LAUNCH TIME  (UTC ZULU).......,07:31:00.000                                   
;EVENT DESCRIPTION.............,LAUNCH NOISE                                   
;EVENT SITE....................,SLC-37B, CCAFS, FL                             
;PROJECT.......................,ACRP PROJECT 02-81                             
;ORGANIZATION..................,BLUE RIDGE RESEARCH AND CONSULTING, LLC        
;RECORDER LOCATION.............,SLC-1                                          
;RECORDER LOCATION SHORT NAME..,SLC01                                          
;SAMPLES TOTAL.................,315                                            
;RUN NOTES.....................,NONE                                           
;CH NUMBER.....................,25                                             
;CH DESCRIPTION................,1/2" MICROPHONE RAND-FIELD                     
;TRANSDUCER MODEL..............,PCB 377B20                                     
;TRANSDUCER SN.................,148905                                         
;PRE-CAL SENS (mV/Pa)..........,N/A                                            
;POST-CAL SENS (mV/Pa).........,N/A                                            
;MEAS SENS (mV/Pa).............,50.000                                         
;ORIENTATION...................,INVERTED                                       
;WINDSCREEN....................,YES                                            
;GRID..........................,YES                                            
;PREAMP MODEL..................,PCB PRMLxT1                                    
;PREAMP SN.....................,46757                                          
;RECORDER MODEL................,LD-LxT                                         
;COORDINATES...................,GEOGRAPHIC                                     
;DATUM.........................,WGS 84                                         
;LATITUDE......................,28.464818                                      
;LONGITUDE.....................,-80.534654                                     
;MICROPHONE HEIGHT AGL M.......,0.0                                            
;CH NOTES......................,NONE                                           
;QC NOTE.......................,NONE                                           
AMBIENT,NaN,38.7,NaN,41.0,42.5,41.8,41.3,43.4,42.1,39.4,39.1,41.5,42.3,41.5,38.3,35.4,38.6,34.4,29.5,28.0,28.3,26.6,26.2,25.8,26.2,26.8,27.6,28.4,29.2,30.1,31.1,35.2,35.4,36.7,37.2,37.1,38.3,39.1,40.8
07:31:09.000,NaN,36.1,NaN,39.1,41.7,39.6,38.4,44.0,37.3,36.3,40.9,43.9,41.0,43.0,37.7,36.1,38.7,32.0,28.1,29.7,27.9,26.2,25.8,26.0,26.4,26.9,26.9,28.7,28.7,30.4,31.1,32.9,33.5,36.2,37.1,37.0,38.1,39.0,40.7
07:31:10.000,NaN,36.8,NaN,39.1,35.4,38.8,37.1,43.2,46.4,44.4,47.8,43.9,39.4,41.3,38.3,34.8,38.5,32.6,27.8,28.0,27.4,26.6,26.5,26.0,26.2,26.4,27.8,28.5,29.2,30.2,31.1,33.9,34.0,36.4,37.1,37.0,38.3,39.0,40.7
07:31:11.000,NaN,37.6,NaN,40.8,44.4,41.1,44.4,43.2,43.6,42.1,41.4,39.1,39.7,43.1,37.9,36.2,38.6,33.0,29.3,27.6,29.1,25.5,26.8,26.0,25.8,26.9,27.0,28.7,28.9,30.2,31.1,34.3,34.3,36.3,37.0,36.9,38.2,39.1,40.9
07:31:12.000,NaN,36.9,NaN,40.6,36.4,45.5,43.2,40.6,39.4,40.1,39.2,42.5,42.6,43.8,38.4,34.3,38.2,33.6,29.5,29.7,28.6,26.4,26.4,25.4,26.7,26.8,27.6,28.2,29.4,30.1,31.0,33.6,34.3,36.5,36.9,37.0,38.1,38.9,40.7
07:31:13.000,NaN,38.8,NaN,40.9,39.3,38.6,43.6,41.3,42.3,39.1,37.7,43.7,42.6,40.5,39.5,35.7,40.8,38.9,39.8,32.2,29.1,26.3,25.8,25.9,25.8,26.8,27.5,28.7,28.9,29.8,31.1,34.7,34.5,36.4,36.9,37.1,38.0,38.9,40.7
07:31:14.000,NaN,38.4,NaN,35.9,44.4,36.8,41.3,41.7,39.7,37.2,38.8,42.5,41.8,42.0,39.0,39.3,36.6,35.8,32.5,28.9,28.5,27.0,25.2,25.5,25.9,26.9,27.5,28.6,29.6,30.3,31.0,35.1,35.3,36.4,36.9,37.0,38.2,38.9,40.7
07:31:15.000,NaN,38.2,NaN,39.7,38.7,41.8,39.7,40.6,41.1,39.7,39.5,41.4,42.7,40.3,39.0,34.0,38.0,32.8,29.1,28.1,27.1,25.3,25.4,25.9,26.5,26.5,27.5,28.0,29.0,30.3,31.0,35.5,35.2,36.4,37.1,37.1,38.1,38.9,40.7
07:31:16.000,NaN,37.6,NaN,43.7,42.1,41.4,40.0,38.3,40.6,38.0,40.1,39.9,40.2,42.0,39.9,35.8,37.2,33.0,29.0,27.5,26.5,26.5,25.6,25.2,26.1,26.8,27.2,28.1,29.6,30.1,31.3,34.5,34.8,36.3,36.8,36.9,38.1,38.9,40.8
07:31:17.000,NaN,38.0,NaN,42.0,40.3,40.6,39.0,41.9,38.4,36.5,38.2,41.3,41.1,43.5,36.9,35.5,38.3,34.7,29.7,28.0,30.0,26.9,25.7,26.4,26.1,26.7,27.4,28.4,29.3,30.1,31.1,35.0,34.8,36.5,36.8,37.1,38.2,39.0,40.7
