;HEADER SIZE...................,32                                             
;VEHICLE NAME..................,FALCON 9 BLOCK 4                               
;MISSION NAME..................,CRS-15                                         
;MISSION TYPE..................,ISS RESUPPLY                                   
;MISSION OPERATOR..............,SPACE EXPLORATION TECHNOLOGIES CORP.           
;MISSION CUSTOMER..............,NASA                                           
;LAUNCH DATE...................,29 JUNE 2018                                   
;LAUNCH TIME  (UTC ZULU).......,09:42:42.000                                   
;EVENT DESCRIPTION.............,LAUNCH NOISE                                   
;EVENT SITE....................,SLC-40, CAPE CANAVERAL AIR FORCE STATION, FL   
;PROJECT.......................,ACRP PROJECT 02-81                             
;ORGANIZATION..................,BLUE RIDGE RESEARCH AND CONSULTING, LLC        
;RECORDER LOCATION.............,SLC-41                                         
;RECORDER LOCATION SHORT NAME..,SLC41                                          
;SAMPLES TOTAL.................,348                                            
;RUN NOTES.....................,NONE                                           
;CH NUMBER.....................,09                                             
;CH DESCRIPTION................,1/2" MICROPHONE PRES-FIELD                     
;TRANSDUCER MODEL..............,PCB 377C13                                     
;TRANSDUCER SN.................,176465                                         
;MEAS SENS (mV/Pa).............,12.198                                         
;ORIENTATION...................,GRAZING                                        
;WINDSCREEN....................,YES                                            
;GRID..........................,YES                                            
;PREAMP MODEL..................,PCB 426E01                                     
;PREAMP SN.....................,1.327810e+05                                   
;RECORDER MODEL................,NI-9234                                        
;COORDINATES...................,GEOGRAPHIC                                     
;DATUM.........................,WGS 84                                         
;LATITUDE......................,28.580360                                      
;LONGITUDE.....................,-80.581598                                     
;MICROPHONE HEIGHT AGL M.......,3.7                                            
;CH NOTES......................,INTERMITTENT HI-FREQ & TONAL NOISE <500 HZ     
AMBIENT,64.7,49.0,57.8,53.6,46.9,48.9,48.2,55.0,53.2,46.4,49.8,52.9,52.1,45.9,43.9,40.0,39.4,41.4,42.8,40.9,39.7,39.1,36.3,33.3,32.4,31.2,30.6,32.4,35.8,40.7,41.5,38.7,32.3,34.5,34.2,35.1,36.1,37.1,38.1
09:42:00.000,64.2,44.9,56.9,55.0,50.5,48.8,46.7,54.6,53.2,47.0,49.9,50.5,50.4,45.6,43.7,38.1,40.6,41.1,43.4,39.9,38.7,39.6,37.9,32.6,31.4,29.7,29.6,28.9,29.2,30.2,30.7,31.2,32.2,35.0,33.9,34.9,36.0,37.1,38.2
09:42:01.000,63.8,44.9,57.7,48.2,43.1,42.3,44.8,56.0,54.0,44.7,49.6,54.1,53.1,45.8,42.2,39.8,40.8,42.5,42.6,40.1,39.5,39.0,36.4,32.4,31.2,29.2,28.7,29.4,29.4,30.0,30.9,31.0,32.0,35.0,33.9,35.1,36.0,37.1,38.2
09:42:02.000,63.6,44.9,57.6,54.8,50.2,44.8,49.4,56.2,55.4,45.8,48.8,50.5,50.3,45.7,44.2,39.5,39.6,41.1,43.3,40.2,38.8,39.3,36.9,32.2,32.3,30.0,29.5,29.1,28.9,30.1,31.3,31.4,32.3,34.8,34.0,35.1,36.0,37.1,38.0
09:42:03.000,64.8,45.0,57.6,55.6,50.7,43.7,47.9,56.9,55.6,45.5,47.1,55.2,52.7,46.9,43.3,39.9,38.0,41.1,41.9,39.7,38.9,39.7,37.5,31.0,31.3,29.7,29.7,29.8,29.7,31.0,31.4,31.4,32.3,34.8,34.0,35.1,35.9,37.2,38.1
09:42:04.000,64.0,46.2,57.4,49.7,47.3,50.3,49.2,55.8,55.0,46.9,48.9,51.9,51.4,42.6,43.7,44.3,40.8,45.0,45.3,41.9,43.0,39.6,39.2,38.8,37.3,34.2,30.8,29.9,29.3,30.4,30.7,31.1,32.2,34.9,34.1,35.0,36.0,37.0,38.3
09:42:05.000,64.8,45.2,58.1,55.0,51.6,53.4,51.0,54.6,53.7,44.6,52.1,53.9,53.6,47.6,44.7,39.6,37.8,40.4,41.0,40.8,39.8,39.8,37.3,32.0,32.7,30.1,30.6,29.5,29.7,29.8,30.4,31.2,32.2,35.2,34.2,35.1,35.9,36.8,38.1
09:42:06.000,63.9,45.3,57.5,48.7,47.2,42.2,44.5,54.0,52.5,46.6,49.9,50.8,51.2,44.8,42.8,38.9,39.5,40.4,41.1,39.4,39.4,40.4,36.9,32.6,34.2,30.4,30.4,29.9,29.5,30.7,30.7,31.2,32.1,35.1,34.2,35.1,36.1,37.0,38.2
09:42:07.000,62.0,45.3,57.2,44.6,41.4,43.9,44.1,54.2,52.0,44.5,50.9,52.9,52.0,45.1,44.7,39.5,40.4,40.6,43.1,41.6,39.9,39.3,36.0,33.0,33.8,30.9,31.1,29.6,29.7,30.7,31.0,31.3,32.0,35.1,34.1,35.0,36.0,37.1,38.1
09:42:08.000,63.6,45.1,57.6,50.8,46.9,52.6,51.7,56.0,55.2,48.7,50.2,54.4,50.6,45.6,46.0,38.7,39.0,40.9,42.9,40.4,40.7,38.7,36.6,31.5,32.3,29.8,30.4,29.2,30.7,31.0,30.9,31.3,31.9,34.2,34.0,35.1,36.0,37.0,38.2
