;HEADER SIZE...................,35                                             
;VEHICLE NAME..................,ANTARES 230                                    
;MISSION NAME..................,CRS-8E (OA-8E)                                 
;MISSION TYPE..................,ISS RESUPPLY                                   
;MISSION OPERATOR..............,NASA                                           
;MISSION CUSTOMER..............,ORBITAL ATK                                    
;LAUNCH DATE...................,12 NOVEMBER 2017                               
;LAUNCH TIME  (UTC ZULU).......,12:19:51.000                                   
;EVENT DESCRIPTION.............,LAUNCH NOISE                                   
;EVENT SITE....................,MARS PAD 0A, WALLOPS FLIGHT FACILITY, VA       
;PROJECT.......................,ACRP PROJECT 02-81                             
;ORGANIZATION..................,BLUE RIDGE RESEARCH AND CONSULTING, LLC        
;RECORDER LOCATION.............,North Beach Trail                              
;RECORDER LOCATION SHORT NAME..,NBTRL                                          
;SAMPLES TOTAL.................,315                                            
;RUN NOTES.....................,NONE                                           
;CH NUMBER.....................,35                                             
;CH DESCRIPTION................,1/2" MICROPHONE RND-FIELD                      
;TRANSDUCER MODEL..............,PCB 377B20                                     
;TRANSDUCER SN.................,149313                                         
;PRE-CAL SENS (mV/Pa)..........,N/A                                            
;POST-CAL SENS (mV/Pa).........,N/A                                            
;MEAS SENS (mV/Pa).............,50.00                                          
;ORIENTATION...................,SKY                                            
;WINDSCREEN....................,YES                                            
;GRID..........................,YES                                            
;PREAMP MODEL..................,PCB PRMLxT1                                    
;PREAMP SN.....................,046761                                         
;RECORDER MODEL................,LD-LxT                                         
;COORDINATES...................,GEOGRAPHIC                                     
;DATUM.........................,WGS 84                                         
;LATITUDE......................,37.872463                                      
;LONGITUDE.....................,-75.440344                                     
;MICROPHONE HEIGHT AGL M.......,1.5                                            
;CH NOTES......................,CONTINUOUS LOW-LEVEL MECH TONAL NOISE 40&80HZ  
;QC NOTE.......................,NONE                                           
AMBIENT,NaN,35.5,NaN,49.7,42.7,41.4,45.2,46.5,42.8,44.7,44.1,47.8,42.5,40.4,44.2,36.7,34.9,32.9,29.6,30.3,32.1,32.8,30.8,28.8,27.1,26.8,27.2,28.0,28.9,29.8,30.9,32.0,33.4,35.0,35.7,36.7,37.8,38.8,40.6
12:19:57.000,NaN,49.1,NaN,51.0,40.3,41.0,47.5,47.6,43.4,48.6,41.0,44.9,43.4,40.1,45.0,37.9,35.2,32.9,29.2,29.9,31.4,33.6,32.3,29.3,27.9,26.9,27.0,28.7,31.8,35.4,44.3,45.0,33.4,35.8,35.5,36.7,37.9,38.6,40.5
12:19:58.000,NaN,36.6,NaN,52.2,41.4,43.4,45.1,45.8,40.2,46.5,43.7,47.6,42.2,40.9,46.1,36.9,35.2,33.2,28.3,30.2,32.1,33.6,31.5,29.7,28.1,27.3,27.1,28.1,28.7,29.8,30.8,31.6,33.3,35.7,35.5,36.7,37.8,38.8,40.4
12:19:59.000,NaN,50.6,NaN,52.2,42.2,38.8,48.1,44.7,40.4,41.0,44.3,48.2,44.4,41.8,45.4,36.4,35.9,32.1,28.4,30.9,32.7,33.0,31.5,28.4,27.3,26.9,27.3,29.2,32.7,36.4,44.8,47.3,33.6,35.4,35.4,36.6,37.7,38.6,40.5
12:20:00.000,NaN,36.2,NaN,50.6,42.9,39.2,46.1,47.5,41.7,42.8,43.0,48.0,43.8,39.8,44.1,35.7,35.0,33.7,28.9,29.4,31.2,33.1,31.1,28.9,27.7,27.2,27.1,27.9,29.0,29.6,30.8,32.0,33.3,35.6,35.5,36.8,37.8,38.5,40.4
12:20:01.000,NaN,48.1,NaN,47.1,46.0,43.1,47.8,48.4,42.2,45.9,41.5,44.9,42.7,39.9,43.8,35.4,34.3,30.7,27.0,30.4,31.1,32.8,30.1,29.5,27.9,27.1,27.6,28.7,31.3,35.9,45.0,39.0,33.4,35.3,35.4,36.6,37.9,38.6,40.5
12:20:02.000,NaN,44.7,NaN,50.5,42.1,45.3,47.0,43.9,46.2,46.4,43.5,44.4,44.6,40.3,45.4,36.1,33.3,31.6,29.1,30.2,30.8,32.1,28.9,29.5,27.7,27.3,27.1,28.2,29.1,29.3,36.9,43.6,33.5,35.2,35.6,36.6,37.6,38.7,40.5
12:20:03.000,NaN,37.1,NaN,50.5,44.8,42.9,45.8,51.7,44.7,46.5,43.3,47.3,42.9,39.4,45.3,37.8,32.6,33.5,30.1,30.4,30.5,30.6,29.2,29.6,27.1,27.1,27.2,28.8,29.6,30.2,31.5,32.2,34.2,36.0,35.4,36.6,37.8,38.7,40.6
12:20:04.000,NaN,49.4,NaN,52.6,46.7,42.7,46.6,45.3,44.3,41.1,44.9,44.6,42.2,40.2,43.9,34.8,31.7,31.9,28.4,29.7,31.6,30.0,29.6,28.6,27.4,27.2,27.3,28.7,31.8,36.1,44.5,45.6,33.8,35.7,35.6,36.5,37.8,38.7,40.6
12:20:05.000,NaN,36.2,NaN,52.3,41.0,41.0,46.6,44.8,40.8,47.6,42.4,45.0,44.5,40.3,44.2,37.2,33.6,31.3,25.9,28.7,31.3,31.7,29.6,28.5,26.9,26.3,27.1,28.1,28.6,30.2,31.3,31.9,33.6,36.2,35.4,36.7,37.8,38.6,40.5
