;HEADER SIZE...................,33                                             
;VEHICLE NAME..................,ANTARES 230                                    
;MISSION NAME..................,CRS-8E (OA-8E)                                 
;MISSION TYPE..................,ISS RESUPPLY                                   
;MISSION OPERATOR..............,NASA                                           
;MISSION CUSTOMER..............,ORBITAL ATK                                    
;LAUNCH DATE...................,12 NOVEMBER 2017                               
;LAUNCH TIME  (UTC ZULU).......,12:19:51.000                                   
;EVENT DESCRIPTION.............,LAUNCH NOISE                                   
;EVENT SITE....................,MARS PAD 0A, WALLOPS FLIGHT FACILITY, VA       
;PROJECT.......................,ACRP PROJECT 02-81                             
;ORGANIZATION..................,BLUE RIDGE RESEARCH AND CONSULTING, LLC        
;RECORDER LOCATION.............,Kegotank Elementary School                     
;RECORDER LOCATION SHORT NAME..,KEGOES                                         
;SAMPLES TOTAL.................,315                                            
;RUN NOTES.....................,NONE                                           
;CH NUMBER.....................,40                                             
;CH DESCRIPTION................,1/2" MICROPHONE FREE-FIELD                     
;TRANSDUCER MODEL..............,GRAS 40AE                                      
;TRANSDUCER SN.................,63681                                          
;MEAS SENS (mV/Pa).............,54.304                                         
;ORIENTATION...................,SOURCE                                         
;WINDSCREEN....................,YES                                            
;GRID..........................,YES                                            
;PREAMP MODEL..................,N/A                                            
;PREAMP SN.....................,N/A                                            
;RECORDER MODEL................,NI-9233                                        
;COORDINATES...................,GEOGRAPHIC                                     
;DATUM.........................,WGS 84                                         
;LATITUDE......................,37.856671                                      
;LONGITUDE.....................,-75.564653                                     
;MICROPHONE HEIGHT AGL M.......,7.3                                            
;CH NOTES......................,NONE                                           
;QC NOTE.......................,NONE                                           
AMBIENT,57.4,47.4,53.6,48.9,46.5,43.1,42.7,46.0,46.6,43.2,45.0,45.0,42.3,42.2,40.3,41.8,42.4,41.0,41.3,38.8,37.6,38.2,38.4,40.1,41.2,40.5,38.7,35.7,30.1,25.2,22.4,21.4,22.3,22.8,23.2,23.6,24.5,25.6,26.5
12:20:00.044,57.5,47.9,53.5,49.5,46.7,42.4,45.0,49.2,45.3,43.2,41.4,44.2,39.9,46.6,44.3,39.8,40.0,41.8,36.3,37.5,36.2,34.8,36.0,38.7,41.3,42.0,39.7,37.8,35.3,26.0,21.3,20.0,20.6,21.5,22.3,23.5,24.6,25.5,26.5
12:20:01.044,57.0,49.2,54.4,44.0,45.1,44.2,42.2,43.5,43.0,43.0,45.0,41.9,43.2,47.6,45.9,40.9,37.8,37.0,37.5,36.7,35.8,36.5,37.3,38.6,42.6,43.8,41.6,38.9,35.4,27.6,22.2,20.4,20.7,21.6,22.5,23.6,24.3,25.5,26.6
12:20:02.044,57.6,49.3,55.6,46.4,44.1,41.9,45.1,43.0,34.9,38.9,45.7,41.8,41.4,51.6,44.4,43.7,40.5,37.1,36.5,35.9,35.1,34.4,36.4,38.6,42.0,42.9,42.1,40.0,36.2,28.0,22.6,20.4,20.8,21.5,22.5,23.7,24.5,25.5,26.4
12:20:03.044,58.7,48.5,56.3,46.6,44.8,40.8,42.3,48.1,40.1,38.8,45.1,44.3,40.1,54.1,43.5,40.9,39.7,35.7,34.2,35.3,34.7,35.3,36.3,39.4,41.2,41.6,40.9,38.1,34.1,26.9,21.4,20.0,20.6,21.8,22.7,23.7,24.5,25.6,26.3
12:20:04.044,56.3,47.7,54.0,43.1,43.3,41.3,43.4,41.8,40.3,43.9,44.0,42.3,39.9,50.9,42.8,41.6,36.7,36.8,37.2,36.0,36.1,35.9,36.0,38.8,40.6,41.4,39.9,37.8,34.4,26.9,21.0,19.7,20.7,21.6,22.5,23.5,24.7,25.5,26.5
12:20:05.044,57.4,48.1,53.8,48.1,46.8,45.3,44.8,44.5,42.3,42.8,41.5,39.5,40.6,48.1,45.0,44.2,39.7,37.9,36.8,37.6,36.0,35.5,37.8,40.9,42.0,42.1,39.1,37.4,32.6,26.7,21.3,20.5,20.7,21.7,22.5,23.3,24.4,25.7,26.6
12:20:06.044,56.8,49.4,53.7,43.7,43.1,45.5,44.9,47.0,47.1,43.3,38.3,40.7,42.5,40.7,42.4,47.0,37.3,37.6,38.4,38.4,36.0,35.3,40.3,40.6,41.5,42.7,42.3,39.9,35.4,27.5,22.4,20.3,20.5,21.4,22.6,23.4,24.4,25.5,26.5
12:20:07.044,57.4,50.8,54.5,41.9,41.6,46.8,47.8,45.0,44.0,43.5,44.9,43.0,43.6,42.1,39.5,45.6,39.5,41.5,38.6,40.6,36.5,36.8,42.2,44.1,46.2,44.8,42.7,40.4,36.0,28.5,22.4,20.3,21.0,21.6,22.4,23.4,24.4,25.3,26.6
12:20:08.044,57.0,49.8,53.9,41.2,40.6,41.9,44.8,50.7,46.0,47.3,44.1,41.5,40.4,42.8,40.9,39.9,40.3,43.5,36.2,36.5,34.7,36.2,38.5,40.1,43.3,43.4,42.1,39.5,35.6,28.5,22.3,20.3,20.7,21.5,22.7,23.7,24.6,25.5,26.6
12:20:09.044,56.1,48.3,53.3,39.0,39.9,42.5,38.0,44.1,43.6,40.5,42.0,45.7,40.0,42.4,41.2,40.1,39.4,43.8,39.1,39.0,34.2,34.7,38.8,41.1,42.6,41.4,40.3,38.0,32.6,26.0,21.6,20.0,20.3,21.5,22.5,23.7,24.7,25.5,26.5
12:20:10.044,56.5,46.8,52.8,41.5,40.8,36.5,41.0,47.4,44.7,38.5,43.1,43.5,42.1,43.6,41.3,40.5,40.5,41.2,39.1,36.1,33.1,33.1,35.2,37.9,40.1,41.3,37.8,35.9,30.3,23.7,19.8,19.8,20.9,21.7,22.6,23.6,24.4,25.4,26.5
12:20:11.044,56.1,46.7,52.5,41.8,44.3,43.4,45.5,45.1,43.1,40.9,40.3,47.3,38.1,41.0,42.3,37.4,40.8,41.5,37.6,38.0,34.2,33.6,35.8,38.2,40.1,40.5,37.9,35.8,30.8,24.2,20.2,20.0,20.5,21.4,22.7,23.6,24.4,25.5,26.4
12:20:12.044,57.0,46.9,52.6,48.4,48.6,44.0,44.3,49.1,47.4,46.5,45.5,44.6,40.8,41.9,41.9,37.3,40.0,38.2,36.4,34.9,34.5,34.7,36.2,37.1,40.9,39.9,39.1,36.7,31.4,25.3,20.8,20.5,21.1,21.7,22.5,23.3,24.5,25.5,26.5
12:20:13.044,81.8,61.0,72.3,66.0,67.3,58.9,58.3,63.9,63.3,64.7,60.9,54.5,52.0,56.6,56.9,49.9,59.7,66.6,59.0,55.5,53.4,51.4,52.7,52.7,51.3,43.3,41.0,39.8,33.8,27.5,22.1,20.5,21.1,22.1,22.6,23.7,24.7,25.5,26.6
12:20:14.044,80.8,56.9,67.9,68.5,70.3,63.7,59.3,61.0,62.1,62.1,56.1,54.3,48.2,50.0,51.0,46.0,53.8,58.6,57.4,55.7,53.5,51.7,50.2,50.9,48.8,43.0,41.4,38.4,32.4,26.0,20.6,20.3,20.8,21.5,22.5,23.5,24.6,25.5,26.4
12:20:15.044,90.8,62.3,84.2,80.3,72.1,76.4,83.3,81.4,81.3,84.1,80.3,74.4,75.2,72.6,70.9,65.8,65.5,66.8,65.2,61.0,58.2,55.7,55.2,56.3,50.6,45.2,41.0,43.8,36.2,36.5,31.1,25.1,22.6,22.2,22.9,23.5,24.4,25.6,26.5
12:20:16.044,93.7,67.4,88.1,83.5,81.7,80.0,80.1,81.2,83.2,88.7,85.6,77.6,75.1,75.2,71.0,71.5,70.7,72.6,70.0,66.7,62.3,61.4,61.1,60.6,57.3,47.6,40.3,35.5,30.6,23.8,20.5,20.1,20.6,21.5,22.6,23.4,24.5,25.5,26.6
12:20:17.044,93.7,74.7,89.1,83.0,83.5,77.6,80.5,79.6,78.6,84.2,81.1,81.8,77.1,78.4,79.5,72.8,76.3,78.7,77.0,76.0,71.0,71.0,69.8,67.4,64.1,55.9,47.5,41.6,31.1,23.9,21.0,20.2,20.8,21.5,22.3,23.5,24.5,25.6,26.6
12:20:18.044,93.9,77.7,90.7,82.2,77.2,71.1,76.8,82.1,80.3,86.2,87.2,83.1,76.5,79.7,78.7,75.0,78.3,81.0,79.2,78.7,74.2,74.2,72.6,69.8,67.2,60.1,52.5,40.9,31.4,23.1,21.2,20.3,20.6,21.5,22.4,23.5,24.5,25.5,26.7
12:20:19.044,98.5,81.2,93.6,85.5,85.0,84.7,86.1,88.2,86.8,86.4,86.8,83.0,78.6,81.8,79.6,78.7,81.7,83.9,82.8,81.2,77.6,76.2,76.0,73.9,69.7,63.8,57.5,48.4,38.4,29.2,22.2,20.1,20.8,21.5,22.3,23.5,24.5,25.5,26.5
12:20:20.044,100.1,85.6,97.3,83.9,82.8,82.1,86.5,88.9,87.6,90.8,89.3,84.5,86.0,85.1,85.5,83.5,87.2,88.4,89.1,85.9,81.0,80.4,79.4,78.1,75.4,71.6,67.4,62.5,56.4,48.9,39.8,29.7,22.0,21.8,22.6,23.6,24.5,25.3,26.5
12:20:21.044,103.3,90.1,100.9,90.1,86.0,82.1,90.6,92.7,86.8,90.7,89.7,91.5,88.3,89.9,90.1,90.3,89.5,91.3,91.5,89.0,84.0,85.5,83.6,82.7,80.0,76.8,75.2,71.4,67.2,61.9,55.9,48.1,37.9,26.9,22.8,23.5,24.3,25.5,26.4
12:20:22.044,104.5,90.3,102.2,87.1,87.1,88.8,92.8,90.6,92.0,90.0,92.7,91.4,93.6,92.4,91.0,91.4,89.1,92.3,92.4,88.6,85.2,85.6,83.5,82.6,80.0,77.2,76.1,71.4,67.5,62.6,56.8,51.5,44.5,35.6,27.2,23.8,24.5,25.5,26.5
