;HEADER SIZE...................,35                                             
;VEHICLE NAME..................,ANTARES 230                                    
;MISSION NAME..................,CRS-8E (OA-8E)                                 
;MISSION TYPE..................,ISS RESUPPLY                                   
;MISSION OPERATOR..............,NASA                                           
;MISSION CUSTOMER..............,ORBITAL ATK                                    
;LAUNCH DATE...................,12 NOVEMBER 2017                               
;LAUNCH TIME  (UTC ZULU).......,12:19:51.000                                   
;EVENT DESCRIPTION.............,LAUNCH NOISE                                   
;EVENT SITE....................,MARS PAD 0A, WALLOPS FLIGHT FACILITY, VA       
;PROJECT.......................,ACRP PROJECT 02-81                             
;ORGANIZATION..................,BLUE RIDGE RESEARCH AND CONSULTING, LLC        
;RECORDER LOCATION.............,MARS UAS Strip                                 
;RECORDER LOCATION SHORT NAME..,UAS                                            
;SAMPLES TOTAL.................,315                                            
;RUN NOTES.....................,NONE                                           
;CH NUMBER.....................,41                                             
;CH DESCRIPTION................,1/2" MICROPHONE RND-FIELD                      
;TRANSDUCER MODEL..............,PCB 377B20                                     
;TRANSDUCER SN.................,148990                                         
;PRE-CAL SENS (mV/Pa)..........,N/A                                            
;POST-CAL SENS (mV/Pa).........,N/A                                            
;MEAS SENS (mV/Pa).............,50.00                                          
;ORIENTATION...................,SKY                                            
;WINDSCREEN....................,YES                                            
;GRID..........................,YES                                            
;PREAMP MODEL..................,PCB PRMLxT1                                    
;PREAMP SN.....................,046756                                         
;RECORDER MODEL................,LD-LxT                                         
;COORDINATES...................,GEOGRAPHIC                                     
;DATUM.........................,WGS 84                                         
;LATITUDE......................,37.882829                                      
;LONGITUDE.....................,-75.432673                                     
;MICROPHONE HEIGHT AGL M.......,1.5                                            
;CH NOTES......................,CONTINUOUS LOW-LEVEL MECH TONAL NOISE 40&80HZ  
;QC NOTE.......................,NONE                                           
AMBIENT,NaN,34.4,NaN,44.7,42.7,41.2,43.4,46.6,42.9,44.8,43.7,48.8,43.3,40.4,43.9,37.2,34.6,33.2,32.7,30.9,29.2,28.5,27.7,28.0,27.9,28.1,28.8,29.6,30.6,31.6,32.6,33.6,34.8,35.8,37.1,38.1,39.1,40.2,41.9
12:20:01.000,NaN,33.5,NaN,42.0,38.7,44.6,48.0,46.3,42.9,44.4,47.5,46.7,41.4,40.7,41.4,36.2,35.8,33.5,31.2,30.4,28.6,27.7,27.0,27.2,27.4,28.1,29.0,30.0,30.5,31.3,32.6,33.6,34.7,35.6,37.0,38.0,39.0,40.1,41.7
12:20:02.000,NaN,34.6,NaN,44.7,41.9,43.5,47.1,45.2,41.1,47.7,47.0,47.7,38.7,41.4,43.5,37.8,34.1,32.8,30.8,30.4,28.8,28.4,28.0,27.1,27.9,27.8,28.6,28.8,30.3,31.2,32.8,33.9,34.7,35.8,37.0,37.8,39.1,40.0,42.0
12:20:03.000,NaN,34.5,NaN,44.3,41.6,41.4,44.2,39.9,45.5,48.6,46.0,44.8,41.1,40.1,42.6,37.5,36.2,32.6,31.0,30.0,29.7,28.5,27.7,27.7,27.1,28.0,28.2,29.2,30.5,31.4,33.6,33.7,34.6,35.6,37.0,38.0,39.2,40.0,41.9
12:20:04.000,NaN,35.5,NaN,44.5,42.6,36.9,42.4,46.6,42.9,47.3,47.4,47.5,39.4,40.7,42.8,38.6,35.2,34.5,33.5,31.9,31.4,27.9,27.9,27.7,27.8,28.0,28.3,29.4,30.8,31.5,33.9,33.5,34.4,35.5,37.0,37.8,39.1,40.0,41.6
12:20:05.000,NaN,34.4,NaN,46.9,40.0,40.0,46.9,45.2,38.8,47.1,48.2,46.0,40.1,40.4,42.1,38.6,33.7,34.1,33.7,32.8,30.2,30.0,27.5,27.5,27.6,28.1,28.6,30.0,30.8,31.3,32.6,33.5,34.6,35.7,37.2,38.1,39.0,40.0,41.8
12:20:06.000,NaN,34.2,NaN,50.1,43.7,41.1,45.0,47.2,41.1,45.5,48.6,46.3,40.1,41.0,40.8,35.8,34.6,30.5,33.6,33.1,31.5,30.9,27.3,27.5,28.0,27.8,28.9,29.5,30.7,31.9,32.7,33.5,34.2,35.4,36.9,37.9,39.0,39.9,41.8
12:20:07.000,NaN,33.9,NaN,44.6,42.4,38.4,45.9,47.4,41.1,47.2,47.3,47.9,38.9,40.2,41.8,36.8,33.2,32.8,33.9,32.8,28.8,31.2,26.5,27.7,27.9,28.0,28.6,29.5,30.3,31.8,32.6,33.6,34.4,35.4,37.2,38.0,39.1,40.1,41.7
12:20:08.000,NaN,34.0,NaN,47.0,42.5,41.9,45.1,46.1,43.9,46.5,49.2,47.2,41.4,40.2,43.3,37.0,33.6,32.3,33.2,32.5,30.9,27.6,28.0,28.5,27.7,28.3,28.9,29.7,30.7,31.6,32.8,33.4,34.3,35.5,36.9,38.0,39.0,39.9,41.9
12:20:09.000,NaN,33.2,NaN,47.1,35.4,44.8,44.5,45.9,42.8,46.0,47.0,47.4,42.3,37.8,41.7,37.8,36.8,32.7,31.1,29.3,27.8,27.5,27.7,27.5,28.1,27.9,29.2,29.2,30.5,31.3,32.9,33.5,34.4,35.5,37.0,38.0,39.0,40.2,41.7
