;HEADER SIZE...................,35                                             
;VEHICLE NAME..................,DELTA IV HEAVY                                 
;MISSION NAME..................,PARKER SOLAR PROBE                             
;MISSION TYPE..................,HELIOPHYSICS                                   
;MISSION OPERATOR..............,UNITED LAUNCH ALLIANCE                         
;MISSION CUSTOMER..............,NASA                                           
;LAUNCH DATE...................,12 AUGUST 2018                                 
;LAUNCH TIME  (UTC ZULU).......,07:31:00.000                                   
;EVENT DESCRIPTION.............,LAUNCH NOISE                                   
;EVENT SITE....................,SLC-37B, CCAFS, FL                             
;PROJECT.......................,ACRP PROJECT 02-81                             
;ORGANIZATION..................,BLUE RIDGE RESEARCH AND CONSULTING, LLC        
;RECORDER LOCATION.............,UCS 8                                          
;RECORDER LOCATION SHORT NAME..,UCS08                                          
;SAMPLES TOTAL.................,315                                            
;RUN NOTES.....................,NONE                                           
;CH NUMBER.....................,16                                             
;CH DESCRIPTION................,1/2" MICROPHONE FREE-FIELD                     
;TRANSDUCER MODEL..............,PCB 377B02                                     
;TRANSDUCER SN.................,306756                                         
;PRE-CAL SENS (mV/Pa)..........,N/A                                            
;POST-CAL SENS (mV/Pa).........,N/A                                            
;MEAS SENS (mV/Pa).............,50.000                                         
;ORIENTATION...................,INVERTED                                       
;WINDSCREEN....................,YES                                            
;GRID..........................,YES                                            
;PREAMP MODEL..................,PCB PRMLxT1                                    
;PREAMP SN.....................,46913                                          
;RECORDER MODEL................,LD-LxT                                         
;COORDINATES...................,GEOGRAPHIC                                     
;DATUM.........................,WGS 84                                         
;LATITUDE......................,28.567961                                      
;LONGITUDE.....................,-80.570709                                     
;MICROPHONE HEIGHT AGL M.......,0.0                                            
;CH NOTES......................,CONTINUOUS LOW-LEVEL TONAL NOISE 40 HZ         
;QC NOTE.......................,NONE                                           
AMBIENT,NaN,36.5,NaN,46.7,45.9,46.2,45.5,45.7,46.3,41.9,44.9,48.7,44.7,43.9,41.8,38.8,37.1,33.4,32.4,31.0,29.9,30.0,28.3,28.2,28.0,28.0,28.6,29.6,30.2,31.1,32.2,33.5,34.4,35.3,36.7,37.7,38.7,39.6,41.6
07:30:58.000,NaN,35.4,NaN,43.2,48.0,41.3,42.9,47.2,44.4,44.4,43.3,45.7,43.2,48.9,38.6,35.7,36.7,33.3,31.9,29.6,28.0,26.8,27.2,27.3,27.2,27.3,28.9,29.0,30.0,31.0,32.2,33.5,34.3,35.2,36.5,37.8,38.7,39.5,41.6
07:30:59.000,NaN,35.6,NaN,44.2,49.0,49.9,41.7,47.5,37.7,41.3,45.6,47.3,43.2,46.0,40.8,37.0,38.8,31.9,30.7,28.8,27.0,28.3,27.6,27.2,27.8,27.4,28.2,29.3,29.9,31.2,32.1,33.3,34.1,35.1,36.3,37.6,38.7,39.5,41.5
07:31:00.000,NaN,35.8,NaN,45.1,47.9,50.2,39.4,42.6,42.5,39.7,43.7,47.4,46.0,46.6,41.5,35.0,36.8,33.3,32.6,28.9,28.7,28.5,27.0,27.1,27.0,27.7,28.6,29.7,30.3,30.7,32.0,33.4,34.4,35.2,36.1,37.6,38.7,39.5,41.5
07:31:01.000,NaN,36.2,NaN,44.9,46.9,46.4,47.8,45.1,43.5,42.0,48.0,47.4,45.1,46.5,40.9,38.6,38.7,33.1,32.2,29.2,29.1,29.1,26.8,27.0,27.6,27.8,28.7,29.2,30.0,31.4,32.2,33.5,34.5,35.3,36.3,37.7,38.6,39.5,41.5
07:31:02.000,NaN,37.2,NaN,44.6,45.3,48.1,46.4,46.2,43.9,42.4,45.1,44.9,43.0,46.8,38.1,39.1,38.0,33.6,32.4,30.1,29.2,28.6,27.4,28.2,27.9,28.3,28.7,29.5,29.8,30.7,32.1,33.8,34.6,35.2,36.5,37.8,38.6,39.4,41.6
07:31:03.000,NaN,36.4,NaN,42.6,46.4,47.9,46.2,44.8,40.2,41.6,47.1,48.1,44.6,46.3,40.2,39.1,37.5,36.4,36.9,31.5,30.7,30.3,27.9,28.5,28.6,27.9,29.1,29.3,30.1,31.0,32.3,33.4,34.5,35.1,36.3,37.7,38.6,39.4,41.7
07:31:04.000,NaN,36.8,NaN,47.4,42.9,50.4,44.8,44.4,43.2,43.9,45.8,47.6,45.6,45.6,39.6,35.8,36.3,35.0,33.8,30.5,30.1,30.3,29.1,29.0,28.2,27.9,28.6,30.1,29.8,31.1,32.1,33.3,34.2,34.9,36.5,37.8,38.6,39.5,41.6
07:31:05.000,NaN,36.9,NaN,48.2,42.3,50.1,47.0,48.3,44.7,43.1,44.4,48.2,46.0,44.4,41.2,36.8,35.6,34.4,33.7,31.1,30.4,31.8,29.5,29.4,27.9,28.2,28.9,29.7,30.2,30.9,32.0,33.5,34.5,35.4,36.4,37.6,38.6,39.5,41.5
07:31:06.000,NaN,36.7,NaN,37.5,42.7,43.7,42.1,47.2,41.9,44.2,45.0,48.3,46.1,46.3,41.4,38.1,35.5,36.4,34.3,31.0,30.0,31.2,29.3,28.4,27.3,28.2,28.8,30.0,30.2,30.8,32.3,33.5,34.4,35.1,36.5,37.5,38.7,39.5,41.5
