;HEADER SIZE...................,33                                             
;VEHICLE NAME..................,DELTA IV HEAVY                                 
;MISSION NAME..................,PARKER SOLAR PROBE                             
;MISSION TYPE..................,HELIOPHYSICS                                   
;MISSION OPERATOR..............,UNITED LAUNCH ALLIANCE                         
;MISSION CUSTOMER..............,NASA                                           
;LAUNCH DATE...................,12 AUGUST 2018                                 
;LAUNCH TIME  (UTC ZULU).......,07:31:00.000                                   
;EVENT DESCRIPTION.............,LAUNCH NOISE                                   
;EVENT SITE....................,SLC-37B, CCAFS, FL                             
;PROJECT.......................,ACRP PROJECT 02-81                             
;ORGANIZATION..................,BLUE RIDGE RESEARCH AND CONSULTING, LLC        
;RECORDER LOCATION.............,SLC-15                                         
;RECORDER LOCATION SHORT NAME..,SLC15                                          
;SAMPLES TOTAL.................,315                                            
;RUN NOTES.....................,NONE                                           
;CH NUMBER.....................,19                                             
;CH DESCRIPTION................,1/2" MICROPHONE PRES-FIELD                     
;TRANSDUCER MODEL..............,PCB 377C13                                     
;TRANSDUCER SN.................,176464                                         
;MEAS SENS (mV/Pa).............,13.811                                         
;ORIENTATION...................,GRAZING                                        
;WINDSCREEN....................,YES                                            
;GRID..........................,YES                                            
;PREAMP MODEL..................,PCB 426E01                                     
;PREAMP SN.....................,132780                                         
;RECORDER MODEL................,NI-9234                                        
;COORDINATES...................,GEOGRAPHIC                                     
;DATUM.........................,WGS 84                                         
;LATITUDE......................,28.496194                                      
;LONGITUDE.....................,-80.549313                                     
;MICROPHONE HEIGHT AGL M.......,1.5                                            
;CH NOTES......................,CONTINUOUS MECH TONAL NOISE 50-63 HZ           
;QC NOTE.......................,NONE                                           
AMBIENT,71.3,42.8,48.7,54.9,52.8,48.8,46.1,44.0,42.1,39.8,41.6,38.3,36.7,35.8,34.4,34.3,38.8,34.3,31.6,29.5,27.2,27.3,26.8,27.1,26.8,28.3,29.5,28.5,29.1,29.2,29.8,31.0,31.3,32.6,33.2,34.8,35.6,36.1,36.7
07:30:57.102,76.7,41.8,51.6,57.2,58.4,53.8,51.9,48.7,44.6,43.6,40.4,41.2,36.2,36.2,37.2,34.3,35.6,31.0,28.4,26.4,25.7,25.3,25.1,25.1,24.0,25.2,25.8,27.0,27.2,28.1,29.2,30.1,30.5,32.3,32.9,34.1,34.6,35.5,36.4
07:30:58.102,71.4,40.7,49.3,52.4,48.6,52.1,47.7,48.0,44.8,37.5,37.3,38.7,39.4,33.7,37.0,32.7,36.1,31.4,29.4,26.3,25.1,23.6,22.7,23.1,23.6,24.2,24.9,25.7,27.0,27.7,28.7,29.9,30.6,32.3,32.9,34.1,34.6,35.5,36.5
07:30:59.102,72.0,40.8,47.4,46.7,44.7,42.1,39.7,44.5,42.5,39.5,43.8,37.5,37.0,34.4,35.1,33.4,36.9,30.3,28.6,26.7,23.7,21.7,22.6,23.1,23.3,23.9,25.6,25.9,28.0,27.7,29.0,29.8,30.5,32.1,32.9,34.3,34.9,35.5,36.4
07:31:00.102,68.7,52.3,56.0,52.8,47.9,49.0,43.8,41.1,40.1,35.0,39.6,37.6,35.4,33.2,35.4,33.2,39.9,35.5,32.2,32.7,34.2,42.6,48.4,45.5,32.7,34.8,28.0,27.1,27.6,28.7,28.8,29.8,30.5,32.1,32.8,34.2,34.9,35.6,36.4
07:31:01.102,67.9,46.0,50.0,54.6,48.8,48.1,47.0,44.9,43.6,36.5,38.8,35.6,35.4,34.8,37.8,34.5,38.8,33.2,30.5,29.3,32.2,36.4,40.8,36.0,39.7,38.3,33.6,35.9,33.8,32.5,32.9,31.6,31.5,33.0,33.5,34.7,35.0,35.8,36.7
07:31:02.102,66.7,44.3,48.0,48.4,46.3,42.3,44.4,40.7,41.0,34.8,40.8,36.2,34.5,36.9,36.8,36.4,37.7,34.5,37.8,32.6,29.3,27.9,27.1,26.2,24.1,26.1,25.3,25.9,27.3,28.2,28.9,30.2,30.6,32.3,33.0,34.4,34.8,35.7,36.7
07:31:03.102,66.0,45.0,48.1,48.0,39.5,37.0,44.3,42.6,40.1,35.2,40.7,36.3,33.2,35.3,35.1,35.8,38.9,32.9,30.5,27.8,28.5,27.4,32.3,28.9,29.4,30.9,34.5,39.1,36.6,34.0,32.0,30.9,31.6,32.7,33.3,34.5,35.0,35.8,36.7
07:31:04.102,65.1,43.1,47.3,43.6,43.4,42.2,41.5,41.2,39.6,35.3,41.0,32.5,31.8,34.8,36.1,34.4,39.6,33.4,30.6,27.5,27.2,25.6,26.1,26.5,25.6,29.6,33.8,35.2,33.9,31.9,31.9,32.8,31.9,32.6,33.6,34.3,35.1,35.9,36.6
07:31:05.102,71.2,44.4,47.8,41.6,44.8,43.3,40.9,44.5,41.2,37.0,40.9,34.8,34.4,36.1,33.8,34.8,38.1,32.0,29.9,27.2,25.2,23.1,22.7,24.7,24.1,24.2,25.1,26.2,26.8,27.8,28.7,30.0,30.7,32.3,33.0,33.9,34.8,35.8,36.6
07:31:06.102,71.9,41.6,47.2,45.9,47.0,45.6,39.7,42.4,36.4,36.4,36.8,36.5,32.7,38.7,38.8,35.8,38.7,32.7,29.9,28.7,27.4,25.9,24.8,25.7,25.7,25.0,26.3,27.9,29.2,29.5,29.8,30.2,30.6,32.3,32.9,34.3,35.4,35.8,36.8
07:31:07.102,73.5,48.5,52.4,48.0,47.1,47.1,50.5,54.4,50.6,48.9,41.3,40.5,37.0,39.6,36.4,36.7,38.1,33.5,31.4,30.2,29.7,30.2,33.0,34.0,32.6,34.3,36.6,38.4,40.7,40.3,38.2,40.0,41.1,39.7,39.7,39.9,40.1,38.4,37.6
07:31:08.102,76.7,41.1,50.7,51.4,50.9,49.4,46.8,47.1,49.7,40.4,41.2,37.9,37.3,38.9,33.8,37.6,40.1,33.5,30.7,27.3,23.9,23.5,24.2,24.0,26.4,26.7,25.5,26.9,29.3,27.8,28.7,30.0,30.5,32.1,32.9,34.4,35.1,35.7,36.7
07:31:09.102,74.9,40.9,48.7,48.5,47.1,45.4,41.2,44.5,44.7,42.0,43.4,37.6,35.3,35.9,37.2,36.7,36.6,32.1,30.6,26.8,23.8,23.5,23.5,23.0,23.8,23.5,24.8,27.1,27.0,27.6,28.5,30.0,30.8,32.1,33.1,34.2,34.8,35.7,36.5
07:31:10.102,67.3,41.0,48.5,53.9,51.1,47.5,42.7,43.7,40.1,41.5,42.8,37.7,36.1,34.5,35.5,37.2,38.5,31.2,29.4,26.8,23.9,24.2,23.4,23.1,23.7,25.0,25.8,26.3,26.8,28.1,28.9,30.2,31.0,32.2,32.9,34.4,35.4,35.7,36.5
07:31:11.102,71.2,40.7,47.8,44.4,44.9,42.2,43.0,41.7,43.7,40.5,43.0,39.4,35.8,34.6,34.6,35.2,37.8,32.4,30.2,26.5,25.1,23.8,23.2,23.4,25.0,24.2,24.6,26.1,27.1,27.8,28.6,29.7,30.4,32.0,32.9,33.9,34.6,35.5,36.5
07:31:12.102,88.5,57.2,69.6,75.7,71.8,71.6,67.9,63.4,62.8,57.1,50.5,45.7,42.3,41.7,39.9,46.7,62.3,58.2,55.1,56.8,57.5,56.9,55.3,47.2,43.5,39.2,34.2,31.1,28.7,27.7,28.9,30.0,30.6,31.8,32.5,34.0,34.7,35.4,36.4
07:31:13.102,91.0,67.0,77.7,81.0,78.5,77.4,70.5,70.1,74.0,73.6,62.8,61.3,60.8,60.4,58.7,60.3,63.4,66.7,70.0,66.9,64.9,62.0,60.6,56.4,53.0,48.1,43.9,38.8,34.8,29.9,29.2,30.0,30.6,31.5,32.7,33.9,34.5,35.4,36.4
07:31:14.102,94.5,70.1,81.5,84.2,81.7,77.3,74.7,76.1,74.4,75.3,67.7,63.8,60.8,66.6,65.1,65.9,69.3,70.3,71.9,73.1,70.0,66.1,63.3,59.8,55.7,51.0,45.8,41.5,36.1,31.6,29.3,29.8,30.7,31.9,32.8,33.9,34.8,35.7,36.6
07:31:15.102,102.4,71.9,92.9,88.0,89.0,88.2,85.7,89.2,93.6,88.6,78.3,72.0,62.8,67.2,65.7,69.6,73.5,76.2,74.0,72.7,71.3,67.9,64.1,60.5,56.8,51.8,47.7,42.1,37.2,31.7,29.2,30.1,30.5,31.7,32.5,33.7,34.4,35.5,36.5
