;HEADER SIZE...................,32                                             
;VEHICLE NAME..................,FALCON 9 BLOCK 4                               
;MISSION NAME..................,CRS-15                                         
;MISSION TYPE..................,ISS RESUPPLY                                   
;MISSION OPERATOR..............,SPACE EXPLORATION TECHNOLOGIES CORP.           
;MISSION CUSTOMER..............,NASA                                           
;LAUNCH DATE...................,29 JUNE 2018                                   
;LAUNCH TIME  (UTC ZULU).......,09:42:42.000                                   
;EVENT DESCRIPTION.............,LAUNCH NOISE                                   
;EVENT SITE....................,SLC-40, CAPE CANAVERAL AIR FORCE STATION, FL   
;PROJECT.......................,ACRP PROJECT 02-81                             
;ORGANIZATION..................,BLUE RIDGE RESEARCH AND CONSULTING, LLC        
;RECORDER LOCATION.............,SLC-41                                         
;RECORDER LOCATION SHORT NAME..,SLC41                                          
;SAMPLES TOTAL.................,348                                            
;RUN NOTES.....................,NONE                                           
;CH NUMBER.....................,07                                             
;CH DESCRIPTION................,1/2" MICROPHONE PRES-FIELD                     
;TRANSDUCER MODEL..............,PCB 377C13                                     
;TRANSDUCER SN.................,176509                                         
;MEAS SENS (mV/Pa).............,11.261                                         
;ORIENTATION...................,INVERTED                                       
;WINDSCREEN....................,YES                                            
;GRID..........................,YES                                            
;PREAMP MODEL..................,PCB 426E01                                     
;PREAMP SN.....................,1.327790e+05                                   
;RECORDER MODEL................,NI-9234                                        
;COORDINATES...................,GEOGRAPHIC                                     
;DATUM.........................,WGS 84                                         
;LATITUDE......................,28.580360                                      
;LONGITUDE.....................,-80.581598                                     
;MICROPHONE HEIGHT AGL M.......,0.0                                            
;CH NOTES......................,INTERMITTENT HI-FREQ & TONAL NOISE <500 HZ     
AMBIENT,63.1,50.5,59.0,53.2,46.7,49.3,48.4,54.7,53.2,46.8,51.0,53.9,52.3,47.2,46.6,44.1,44.1,46.2,45.9,43.0,39.8,40.2,37.7,34.2,33.1,30.8,29.4,31.6,35.2,44.6,42.3,39.1,32.3,34.1,34.2,35.1,36.1,37.1,38.2
09:42:00.000,62.8,45.6,58.2,54.7,49.4,44.9,46.1,54.1,51.8,47.6,51.1,50.7,52.8,46.8,45.9,43.3,44.8,46.0,47.1,40.4,39.4,42.0,36.9,32.7,31.2,29.6,28.3,28.8,29.3,29.7,30.3,31.2,32.4,35.6,33.9,35.1,36.1,37.0,38.0
09:42:01.000,62.7,45.6,58.6,48.3,46.0,46.8,47.5,56.0,54.3,48.7,52.1,55.5,51.8,44.7,44.7,43.8,44.2,45.5,45.7,41.6,39.0,42.2,36.3,32.2,31.2,28.8,28.2,28.3,29.1,29.4,30.5,31.1,32.3,35.4,34.2,35.1,36.0,37.1,38.4
09:42:02.000,62.8,45.3,57.8,54.7,49.6,47.5,50.1,55.1,54.2,47.1,50.1,50.2,51.4,46.0,47.2,44.3,43.5,45.1,47.3,41.9,38.0,38.9,36.0,31.3,30.6,28.2,28.2,28.8,28.2,29.8,30.3,31.3,32.1,35.7,34.4,35.2,36.1,37.1,38.2
09:42:03.000,63.4,45.4,59.0,54.3,49.9,44.2,48.3,56.8,55.6,45.7,48.0,55.4,51.2,49.3,48.1,44.4,44.5,46.1,46.2,42.0,38.3,40.5,35.9,31.3,30.8,28.4,28.5,28.5,28.9,30.4,30.5,31.4,32.4,35.6,34.2,35.2,36.1,37.1,38.2
09:42:04.000,63.5,50.4,60.3,48.2,45.9,51.7,51.2,54.4,55.4,42.9,49.4,53.4,54.7,46.6,46.0,46.0,50.5,52.1,50.1,47.1,45.1,47.8,49.5,45.1,43.3,37.9,30.1,29.4,29.0,29.8,30.6,31.2,32.1,35.1,34.1,35.2,36.2,37.0,38.2
09:42:05.000,63.8,45.8,58.5,54.5,50.9,52.0,50.3,53.7,53.8,47.8,50.4,53.8,50.0,46.0,45.4,42.8,44.1,45.2,45.0,43.0,38.9,41.8,37.7,33.0,30.7,28.4,28.1,28.4,28.4,29.5,30.2,31.3,32.0,35.3,34.2,35.1,36.2,37.0,38.2
09:42:06.000,62.9,46.2,59.0,50.1,47.5,45.9,46.5,55.3,54.3,46.2,50.3,53.4,52.7,47.1,47.8,41.1,42.8,45.5,45.7,42.0,40.4,42.4,37.9,33.9,32.9,30.7,29.5,28.7,29.6,29.6,30.2,31.3,32.1,34.9,34.1,35.0,36.1,37.2,38.1
09:42:07.000,62.5,46.2,59.0,45.1,43.4,48.4,46.3,53.2,52.0,46.9,50.2,55.4,52.9,48.4,46.3,43.5,42.8,45.6,46.8,43.0,40.1,42.1,37.8,34.1,33.4,30.5,29.5,30.0,30.2,30.6,30.5,31.5,32.1,35.0,34.1,35.2,36.0,37.1,38.2
09:42:08.000,63.3,46.0,59.2,49.6,47.4,50.2,50.4,55.1,55.0,46.8,50.7,55.5,54.1,48.8,47.5,42.9,42.8,45.0,45.6,42.9,39.5,40.9,37.2,33.6,33.1,30.6,30.2,30.1,30.5,31.1,30.5,31.2,31.9,34.0,34.0,35.1,36.1,37.1,38.2
09:42:09.000,62.8,45.7,58.3,52.5,47.7,47.7,49.0,53.9,52.3,44.4,48.9,51.5,51.6,45.9,46.8,45.1,44.4,45.8,45.0,43.1,38.5,41.0,36.8,34.0,33.2,29.8,29.2,29.4,29.0,29.6,30.2,31.2,32.4,34.7,34.2,35.0,36.2,37.1,38.2
09:42:10.000,62.4,45.8,58.9,44.7,41.1,43.4,44.7,54.7,53.5,47.2,50.5,54.5,52.0,47.4,46.1,43.8,44.6,47.1,45.2,43.2,38.3,41.0,37.0,33.3,32.3,29.5,28.8,29.2,29.3,30.0,30.9,31.1,32.2,35.1,34.2,35.2,36.2,37.1,38.2
09:42:11.000,62.0,45.9,58.1,44.6,45.1,48.7,45.8,54.9,53.0,47.5,51.8,51.9,51.9,48.9,46.2,42.2,44.2,46.5,46.0,42.5,39.2,41.7,37.2,32.9,32.0,29.4,29.4,29.1,29.4,30.4,30.9,31.3,32.4,33.7,34.1,35.0,36.1,37.2,38.2
09:42:12.000,62.5,45.8,58.7,50.8,48.4,49.6,49.6,52.3,50.6,45.6,52.4,54.8,52.0,47.0,46.9,43.6,44.6,46.4,45.1,43.8,40.1,41.5,36.0,32.2,32.2,30.0,29.3,29.8,30.4,31.0,31.1,31.4,32.1,33.9,34.1,35.0,36.2,37.1,38.2
09:42:13.000,63.0,48.4,59.3,51.9,47.7,51.4,50.7,53.3,52.4,46.0,49.2,53.4,52.3,48.2,47.4,44.3,47.8,49.6,46.6,46.7,43.5,44.6,45.9,42.5,42.9,36.2,29.8,29.9,30.0,30.2,30.6,31.1,32.1,33.4,34.0,35.1,36.0,37.2,38.2
09:42:14.000,63.6,45.7,58.8,56.0,52.6,49.9,49.1,56.5,54.3,45.5,52.0,56.0,51.4,43.9,45.1,43.4,43.3,47.0,46.4,43.0,40.3,41.2,35.7,32.9,30.3,29.6,29.1,29.3,28.7,29.7,30.4,31.0,31.8,33.5,34.0,35.0,36.1,37.1,38.2
09:42:15.000,63.5,45.7,59.0,53.1,50.1,42.6,41.8,56.2,54.7,47.3,52.9,54.1,51.9,44.8,46.2,44.8,46.6,47.9,47.4,43.3,40.2,39.6,35.7,32.6,31.8,29.6,28.4,28.5,28.8,30.1,30.7,31.3,32.1,33.7,34.2,35.2,36.1,37.0,38.0
09:42:16.000,62.9,45.5,58.4,54.5,49.7,48.5,48.8,53.2,52.9,45.9,48.5,49.9,52.0,47.1,48.6,44.3,44.4,46.4,46.8,44.1,40.2,40.4,35.9,31.3,31.3,28.4,28.6,28.6,28.4,29.3,30.7,31.1,32.1,33.9,34.2,35.1,36.2,37.1,38.2
09:42:17.000,63.9,45.7,59.1,56.2,52.2,50.6,47.9,55.1,53.7,47.2,52.3,53.0,52.7,45.9,46.3,44.5,44.6,46.9,47.2,43.1,39.2,41.3,34.9,31.2,30.6,29.5,28.1,27.8,28.9,29.8,30.4,31.2,32.4,33.3,34.0,35.0,36.1,37.1,38.2
09:42:18.000,63.0,50.4,58.4,48.8,49.0,51.7,48.9,54.6,52.4,45.0,49.5,52.9,51.4,46.2,45.7,43.7,45.3,47.3,47.1,43.9,38.9,39.9,34.8,31.5,30.3,28.6,28.2,28.8,39.2,38.5,31.3,31.6,32.1,33.4,34.2,35.2,36.3,37.2,38.1
09:42:19.000,64.0,51.3,59.3,56.3,51.8,49.8,48.6,53.9,52.8,46.7,49.6,55.7,52.3,46.9,46.5,44.7,44.4,47.1,45.5,42.7,38.8,37.8,34.3,31.2,30.3,28.3,27.7,28.4,34.3,30.6,31.0,37.9,32.4,33.4,34.3,35.1,36.2,37.1,38.1
09:42:20.000,64.3,56.9,60.3,56.0,51.9,43.5,46.1,54.1,54.3,47.2,51.5,52.3,50.7,48.7,47.1,44.4,44.2,47.0,46.1,42.5,39.9,38.7,34.3,31.3,30.0,28.7,28.1,31.5,43.7,49.7,49.1,49.6,34.3,33.6,34.4,35.3,36.2,37.1,38.1
09:42:21.000,62.0,53.9,59.1,49.7,47.4,46.8,46.1,53.2,52.1,41.9,50.4,55.5,50.7,48.1,45.7,43.9,44.6,47.9,46.4,43.4,38.6,38.5,35.8,30.7,31.2,29.0,27.6,29.1,38.9,48.8,48.5,43.8,32.3,33.7,34.4,35.1,36.3,37.1,38.3
09:42:22.000,62.5,45.1,58.6,42.3,47.4,52.1,49.9,53.4,52.8,47.2,49.7,54.0,52.6,47.9,45.7,43.7,43.4,46.8,46.2,42.2,39.4,37.7,35.6,31.8,31.0,29.3,27.5,28.1,28.9,29.7,30.1,31.1,31.9,33.6,34.2,35.1,36.1,37.1,38.1
09:42:23.000,63.8,45.4,58.7,54.8,50.9,54.3,53.0,53.5,52.1,48.8,53.2,53.9,51.4,47.7,45.2,45.2,44.1,48.1,47.4,42.1,40.1,38.0,35.8,30.5,30.6,28.8,27.6,28.2,29.0,29.6,30.3,31.2,32.2,33.8,34.1,35.1,36.1,37.2,38.1
09:42:24.000,62.4,45.0,58.3,45.6,48.1,48.2,46.7,55.7,54.5,48.9,49.4,54.5,52.2,44.6,45.7,43.5,42.9,46.9,46.1,40.9,40.0,39.0,35.7,32.2,31.4,28.5,26.9,28.1,28.6,29.5,30.3,31.0,32.0,33.5,33.9,35.0,36.1,37.1,38.2
09:42:25.000,63.3,54.4,59.8,50.3,47.1,51.0,50.0,54.6,52.9,47.0,48.5,53.6,53.3,49.6,46.8,44.0,42.7,46.9,45.8,40.5,40.3,38.8,35.5,31.6,30.1,29.0,27.4,28.4,41.8,50.5,46.5,35.8,32.1,33.5,33.9,34.9,36.1,37.2,38.1
09:42:26.000,64.1,56.2,60.3,54.1,49.5,44.9,44.4,52.7,51.2,46.4,53.1,56.2,52.3,47.0,44.8,43.4,43.9,44.9,46.4,42.3,40.5,37.7,35.2,31.0,30.0,29.0,27.7,29.7,45.6,53.7,50.0,43.6,32.5,33.5,34.4,35.2,36.3,37.2,38.2
