;HEADER SIZE...................,32                                             
;VEHICLE NAME..................,FALCON 9 BLOCK 4                               
;MISSION NAME..................,CRS-15                                         
;MISSION TYPE..................,ISS RESUPPLY                                   
;MISSION OPERATOR..............,SPACE EXPLORATION TECHNOLOGIES CORP.           
;MISSION CUSTOMER..............,NASA                                           
;LAUNCH DATE...................,29 JUNE 2018                                   
;LAUNCH TIME  (UTC ZULU).......,09:42:42.000                                   
;EVENT DESCRIPTION.............,LAUNCH NOISE                                   
;EVENT SITE....................,SLC-40, CAPE CANAVERAL AIR FORCE STATION, FL   
;PROJECT.......................,ACRP PROJECT 02-81                             
;ORGANIZATION..................,BLUE RIDGE RESEARCH AND CONSULTING, LLC        
;RECORDER LOCATION.............,UCS 15                                         
;RECORDER LOCATION SHORT NAME..,UCS15                                          
;SAMPLES TOTAL.................,341                                            
;RUN NOTES.....................,NONE                                           
;CH NUMBER.....................,10                                             
;CH DESCRIPTION................,1/2" MICROPHONE PRES-FIELD                     
;TRANSDUCER MODEL..............,PCB 377C13                                     
;TRANSDUCER SN.................,176489                                         
;MEAS SENS (mV/Pa).............,13.123                                         
;ORIENTATION...................,INVERTED                                       
;WINDSCREEN....................,YES                                            
;GRID..........................,YES                                            
;PREAMP MODEL..................,PCB 426E01                                     
;PREAMP SN.....................,1.327820e+05                                   
;RECORDER MODEL................,NI-9234                                        
;COORDINATES...................,GEOGRAPHIC                                     
;DATUM.........................,WGS 84                                         
;LATITUDE......................,28.577783                                      
;LONGITUDE.....................,-80.607428                                     
;MICROPHONE HEIGHT AGL M.......,0.0                                            
;CH NOTES......................,NONE                                           
AMBIENT,57.6,42.1,51.9,50.0,45.4,44.6,46.5,47.9,44.3,44.0,44.7,46.2,43.1,43.2,42.0,41.5,40.2,34.7,32.8,29.8,26.4,23.8,22.5,22.8,23.0,23.8,24.9,25.9,26.8,27.8,28.7,33.0,31.0,31.8,32.9,34.8,34.9,35.9,36.8
09:42:11.000,57.9,41.3,51.8,50.9,48.1,45.8,46.8,48.8,46.4,47.0,46.8,44.5,41.8,43.8,42.5,38.8,38.0,34.4,32.1,30.6,25.1,23.6,23.6,22.6,23.0,23.1,24.5,26.1,26.5,27.6,28.4,33.2,31.2,31.8,33.1,35.1,35.0,35.7,36.8
09:42:12.000,57.9,41.3,51.9,51.5,47.1,39.7,44.5,48.1,42.9,42.4,42.6,48.7,45.3,40.2,41.4,40.8,40.2,36.6,33.1,28.2,25.3,23.5,22.2,23.3,23.3,23.8,24.2,25.7,26.9,27.8,28.8,32.9,31.2,31.8,33.0,34.9,35.0,36.2,36.9
09:42:13.000,57.5,41.5,52.0,50.6,46.3,41.2,44.0,46.4,38.7,42.0,43.6,43.9,44.0,43.3,42.5,41.0,38.8,34.9,33.1,29.6,26.8,23.9,22.6,22.0,23.6,23.5,24.9,26.0,27.0,27.7,29.2,33.0,31.1,31.9,33.0,34.6,34.9,35.8,36.8
09:42:14.000,56.9,41.5,52.0,40.7,41.0,44.6,48.7,48.7,42.7,42.6,48.3,48.1,43.3,41.2,41.2,41.2,38.8,35.1,33.4,30.4,25.1,24.2,23.3,22.9,23.4,23.6,24.4,25.8,26.2,27.5,28.6,34.2,31.3,31.8,33.1,35.1,34.9,35.9,36.8
09:42:15.000,56.7,41.5,51.4,41.5,41.5,40.5,45.7,46.3,43.0,41.6,44.6,46.8,39.7,43.2,40.8,39.7,39.2,33.4,31.6,31.7,25.9,23.7,24.0,25.0,23.6,24.1,25.1,26.1,27.0,28.0,28.8,32.3,31.1,31.9,32.9,34.7,34.8,35.7,36.8
09:42:16.000,56.6,41.5,51.4,44.6,43.5,46.5,47.3,46.8,46.9,43.6,42.5,42.9,41.6,43.5,39.3,41.5,40.9,34.1,32.0,29.2,25.5,23.2,22.4,22.7,22.7,23.9,25.5,26.4,26.8,27.8,29.0,33.8,31.1,31.8,33.0,34.3,35.0,35.9,36.8
09:42:17.000,57.5,41.4,52.0,48.7,46.6,42.8,47.5,49.6,42.4,43.7,46.0,45.1,42.1,40.7,42.2,41.4,39.8,34.7,31.8,30.5,25.5,23.6,22.8,23.5,22.5,23.2,25.0,25.9,26.8,28.3,28.8,33.1,31.1,31.6,32.8,35.1,35.0,36.1,37.0
09:42:18.000,58.1,41.4,52.5,50.3,48.0,46.6,45.3,46.7,42.7,43.8,44.1,46.6,44.2,44.0,41.1,43.3,39.9,34.4,30.7,28.3,25.4,23.3,21.7,22.2,22.7,24.3,24.7,25.6,27.2,27.8,28.7,33.5,31.2,31.8,32.8,34.7,34.7,35.8,36.7
09:42:19.000,58.6,41.4,52.3,52.8,48.3,41.0,43.6,48.2,43.5,41.8,43.9,48.4,43.1,42.7,39.6,41.1,40.7,34.0,31.4,28.4,25.5,23.1,21.3,22.0,23.1,23.9,24.7,25.8,26.3,28.2,28.8,33.4,31.1,31.8,33.0,35.1,34.9,35.8,36.9
09:42:20.000,57.3,41.4,52.0,47.9,46.3,45.5,49.0,48.2,43.9,44.4,45.5,44.4,42.2,42.5,42.5,40.7,43.7,34.4,32.4,28.9,27.0,23.9,21.5,22.2,22.7,23.9,25.1,26.2,26.8,27.8,28.8,32.5,30.9,31.7,32.6,34.6,34.8,36.0,36.8
09:42:21.000,58.9,41.4,52.3,50.4,46.4,47.7,48.6,49.7,42.2,43.1,43.1,48.7,44.0,42.1,41.7,41.5,43.5,35.1,33.6,29.3,27.8,24.4,22.1,21.9,22.9,23.4,24.9,25.8,27.1,27.8,28.8,32.7,31.0,31.8,32.8,34.7,34.9,35.8,36.8
09:42:22.000,55.6,41.5,51.3,38.5,41.4,37.4,44.3,49.3,45.3,43.0,40.5,43.7,42.0,43.7,42.9,39.9,42.1,35.6,33.9,29.0,27.2,24.6,21.7,22.4,23.2,23.9,24.7,25.7,26.6,27.6,28.9,33.3,31.1,31.8,32.8,34.3,34.7,35.8,36.9
09:42:23.000,57.1,41.3,51.8,49.1,46.3,43.0,44.0,44.3,48.7,43.6,43.6,44.1,42.2,43.5,41.7,43.2,38.6,34.1,34.2,29.5,26.5,23.6,22.4,22.3,22.7,23.7,24.9,25.9,26.7,27.7,28.7,33.2,31.2,31.9,33.0,35.0,35.0,36.1,36.8
