;HEADER SIZE...................,34                                             
;VEHICLE NAME..................,FALCON 9 BLOCK 4                               
;MISSION NAME..................,CRS-15                                         
;MISSION TYPE..................,ISS RESUPPLY                                   
;MISSION OPERATOR..............,SPACE EXPLORATION TECHNOLOGIES CORP.           
;MISSION CUSTOMER..............,NASA                                           
;LAUNCH DATE...................,29 JUNE 2018                                   
;LAUNCH TIME  (UTC ZULU).......,09:42:42.000                                   
;EVENT DESCRIPTION.............,LAUNCH NOISE                                   
;EVENT SITE....................,SLC-40, CAPE CANAVERAL AIR FORCE STATION, FL   
;PROJECT.......................,ACRP PROJECT 02-81                             
;ORGANIZATION..................,BLUE RIDGE RESEARCH AND CONSULTING, LLC        
;RECORDER LOCATION.............,LC-39B                                         
;RECORDER LOCATION SHORT NAME..,LC39B                                          
;SAMPLES TOTAL.................,360                                            
;RUN NOTES.....................,NONE                                           
;CH NUMBER.....................,24                                             
;CH DESCRIPTION................,1/2" MICROPHONE RAND-FIELD                     
;TRANSDUCER MODEL..............,PCB 377B20                                     
;TRANSDUCER SN.................,142931                                         
;PRE-CAL SENS (mV/Pa)..........,N/A                                            
;POST-CAL SENS (mV/Pa).........,N/A                                            
;MEAS SENS (mV/Pa).............,50.000                                         
;ORIENTATION...................,INVERTED                                       
;WINDSCREEN....................,YES                                            
;GRID..........................,YES                                            
;PREAMP MODEL..................,PCB PRMLxT1                                    
;PREAMP SN.....................,                                              
;RECORDER MODEL................,LD-LxT                                         
;COORDINATES...................,GEOGRAPHIC                                     
;DATUM.........................,WGS 84                                         
;LATITUDE......................,28.624153                                      
;LONGITUDE.....................,-80.617465                                     
;MICROPHONE HEIGHT AGL M.......,0.0                                            
;CH NOTES......................,CONTINUOUS MECH TONAL NOISE <125 HZ            
AMBIENT,NaN,37.3,NaN,54.8,44.8,42.8,44.2,54.5,49.0,46.3,50.6,46.4,47.5,51.2,47.7,45.3,43.8,36.4,33.0,31.3,30.0,29.2,29.4,29.1,27.8,27.8,28.3,29.1,29.9,30.9,31.9,33.1,34.2,35.9,37.2,37.7,39.1,39.8,41.4
09:42:06.000,NaN,39.0,NaN,54.5,40.0,46.3,48.5,50.0,45.3,45.2,52.1,46.3,47.8,47.8,40.1,41.5,41.7,36.1,31.7,30.8,30.8,28.9,31.2,30.5,27.9,27.4,27.9,29.0,29.4,30.9,31.7,32.6,34.0,36.1,39.4,37.6,39.0,39.7,41.4
09:42:07.000,NaN,36.8,NaN,48.9,40.6,44.4,45.1,50.3,46.4,42.6,50.9,45.3,44.2,48.1,43.7,42.0,41.3,34.8,32.5,31.8,31.6,29.6,31.2,30.8,28.4,28.2,28.2,28.8,29.8,30.8,31.8,32.9,34.1,36.0,36.7,37.5,39.0,39.7,41.3
09:42:08.000,NaN,36.8,NaN,54.2,42.4,44.6,45.1,52.2,43.4,47.3,50.8,46.5,47.1,50.9,43.0,43.8,40.6,33.9,34.0,31.1,31.5,29.4,30.6,30.3,27.9,27.3,28.4,29.3,30.1,31.3,31.9,32.8,34.3,35.8,36.7,37.6,39.1,39.7,41.4
09:42:09.000,NaN,36.9,NaN,53.7,44.5,42.1,46.9,51.2,47.5,44.7,50.0,46.6,45.3,49.4,44.5,42.3,40.9,35.4,32.6,31.6,33.1,31.1,31.0,29.5,27.9,27.6,28.4,29.0,30.2,30.9,31.6,33.2,34.2,35.8,36.6,37.6,38.9,39.6,41.3
09:42:10.000,NaN,37.7,NaN,48.6,39.5,47.7,43.3,52.0,44.7,42.7,49.7,46.2,46.1,50.3,44.4,43.2,40.9,34.0,31.1,28.4,31.6,33.4,32.6,29.9,28.1,27.6,28.5,29.0,29.5,30.8,31.9,33.2,34.1,36.3,37.0,37.5,39.0,40.0,41.4
09:42:11.000,NaN,37.7,NaN,51.9,44.4,44.9,45.4,50.7,44.8,45.0,50.2,46.3,46.7,52.0,44.0,42.8,42.4,33.9,30.7,30.1,32.0,33.9,33.2,31.2,28.0,27.4,28.3,29.1,30.3,31.2,31.7,33.1,34.0,35.7,36.9,37.6,38.9,39.8,41.3
09:42:12.000,NaN,38.2,NaN,52.3,47.1,46.2,48.7,51.9,46.8,44.6,48.0,45.6,44.3,50.1,45.1,42.6,40.9,34.2,32.6,30.8,31.5,33.0,35.1,32.3,29.1,28.5,28.3,28.8,29.6,30.8,32.1,33.2,34.2,35.8,36.9,37.6,39.0,39.9,41.4
09:42:13.000,NaN,37.8,NaN,57.3,43.0,43.2,44.0,51.1,47.6,44.9,50.9,47.5,45.9,48.3,43.9,42.4,38.3,34.7,31.5,30.2,32.3,32.9,34.4,32.3,28.7,27.8,27.7,28.8,29.4,31.0,32.1,33.1,34.0,35.8,37.1,37.9,39.1,39.8,41.4
09:42:14.000,NaN,38.7,NaN,53.3,45.1,41.6,43.4,50.4,46.3,47.8,50.9,47.1,45.3,48.8,44.7,44.0,38.8,35.2,32.0,29.4,31.6,33.3,32.9,31.1,27.8,27.9,27.6,29.1,29.8,30.3,31.9,32.7,34.0,36.0,38.7,37.7,39.0,39.9,41.4
